phenomenon_id,phenomenon,phenomenon_class,matrix_status,required_variables,declared_statistic,variable_availability,execution_classification,reason,original_assertion,primary_chart,secondary_chart,negative_control
STRONG-012,R10a PINHOLE from superheat,STRONG,EXISTING,"superheat_c, defect_code",unclassified,ALL PRESENT,DECLARATION_NOT_NUMERIC,the historical assertion carries no numeric target; it is a declaration but not an effect band,MEASURE FIRST: PINHOLE rate rises across superheat quartiles,C28,C25,SCRATCH
STRONG-013,R10b OSCILLATION_MARK from casting speed,STRONG,EXISTING,"casting_speed_m_min, defect_code",unclassified,MISSING: casting_speed_m_min,SOURCE_VARIABLE_NOT_MATERIALISED,declared variable(s) absent from the generated plant: casting_speed_m_min,MEASURE FIRST: OSCILLATION_MARK rate rises across casting-speed quartiles,C27,C28,DENT
STRONG-014,R11a GAUGE_DEV from slippage events,STRONG,EXISTING,"slippage_flag, gauge_target_mm, gauge_actual_mm",unclassified,"MISSING: slippage_flag, gauge_target_mm, gauge_actual_mm",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: slippage_flag, gauge_target_mm, gauge_actual_mm",MEASURE FIRST: mean absolute gauge deviation is higher on slippage coils than on the rest,C23,C24,a random coil subset must not
STRONG-015,R11b WIDTH_DEV from campaign wear,STRONG,EXISTING,"roll_campaign_age, width_target_mm, width_actual_mm",unclassified,"MISSING: roll_campaign_age, width_target_mm, width_actual_mm",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: roll_campaign_age, width_target_mm, width_actual_mm",MEASURE FIRST: mean absolute width deviation rises across campaign-age quartiles,C18,C24,a random coil subset must not
R12,"R12 oxygen_ppm from scrap ratio, meltshop-internal",STRONG,EXISTING,"scrap_ratio, oxygen_ppm",unclassified,"MISSING: scrap_ratio, oxygen_ppm",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: scrap_ratio, oxygen_ppm",MEASURE FIRST: oxygen_ppm correlates positively with scrap_ratio across heats,C23,C25,a random heat subset must not
R13,"R13 electricity_mwh from scrap ratio, cold furnace and bucket count",STRONG,EXISTING,"scrap_ratio, furnace_state, bucket_count, electricity_mwh",unclassified,"MISSING: scrap_ratio, furnace_state, bucket_count, electricity_mwh",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: scrap_ratio, furnace_state, bucket_count, electricity_mwh",MEASURE FIRST: electricity_mwh rises with bucket_count and is higher on cold-furnace heats,C19,C21,a random heat subset must not
R14,"R14 power_on_min from buckets, scrap ratio and furnace state",STRONG,EXISTING,"bucket_count, scrap_ratio, furnace_state, power_on_min",unclassified,"MISSING: bucket_count, scrap_ratio, furnace_state, power_on_min",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: bucket_count, scrap_ratio, furnace_state, power_on_min",MEASURE FIRST: power_on_min is higher on cold-furnace heats than on hot heats,C05,C19,a random heat subset must not
R15,"R15 caster breakout from superheat and scrap ratio, giving a 4-6 h production stoppage",STRONG,EXISTING,"superheat_c, scrap_ratio, downtime_minutes, downtime_reason",unclassified,"MISSING: scrap_ratio, downtime_minutes, downtime_reason",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: scrap_ratio, downtime_minutes, downtime_reason",at least one breakout event exists with production_impact_minutes between 240 and 360,C16,C15,routine changeovers must not correlate with superheat
R16,"R16 HSM cobble downtime from slippage, transfer buffer absorbing the first 45 minutes",STRONG,ENRICH,"slippage_flag, stopped_minutes, production_impact_minutes",unclassified,MISSING: slippage_flag,GENERATOR_SCOPE_NOT_IMPLEMENTED,matrix status ENRICH; declared variable(s) absent from the generated plant: slippage_flag,at least one cobble row has stopped_minutes minus production_impact_minutes between 1 and 45,C15,C13,a planned changeover must show stopped equal to impact
STRONG-021,R17a PKL line speed inverse to gauge,STRONG,EXISTING,"gauge_mm, line_speed_m_min",unclassified,"MISSING: gauge_mm, line_speed_m_min",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: gauge_mm, line_speed_m_min",MEASURE FIRST: line_speed_m_min correlates negatively with gauge_mm,C23,C20,a random coil subset must not
STRONG-022,Ranked contributors each carry resolvable provenance,STRONG,EXISTING,"driver_name, effect_size, q_value, evidence_handle",unclassified,"MISSING: driver_name, effect_size, q_value, evidence_handle",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: driver_name, effect_size, q_value, evidence_handle",every row in the driver ranking carries a non-null evidence handle that resolves to source rows,C34,C30,an unsourced driver must not appear in the ranking
STRONG-023,R17b QA yield and UTS by grade family,STRONG,EXISTING,"grade_family, yield_mpa, uts_mpa",threshold_membership,"MISSING: grade_family, yield_mpa, uts_mpa",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: grade_family, yield_mpa, uts_mpa",MEASURE FIRST: yield_mpa distributions differ across grade families by a Kruskal-Wallis test at p below 0.05,C21,C30,a random grade split must not separate
MODERATE_CONDITIONAL-024,"Casting speed against defect rate, unconditioned",MODERATE_CONDITIONAL,EXISTING,"casting_speed_m_min, defect_rate",fdr_significance,MISSING: casting_speed_m_min,SOURCE_VARIABLE_NOT_MATERIALISED,declared variable(s) absent from the generated plant: casting_speed_m_min,the unconditioned association is significant at q=0.05,C27,C29,SCRATCH
MODERATE_CONDITIONAL-025,"Casting speed against defect rate, conditioned on grade",MODERATE_CONDITIONAL,EXISTING,"casting_speed_m_min, grade, defect_rate",unclassified,"MISSING: casting_speed_m_min, grade",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: casting_speed_m_min, grade",the conditioned effect size is at least 30 percent smaller than the unconditioned one and both are recorded,C29,C26,SCRATCH
MODERATE_CONDITIONAL-026,Best casting speed band differs by grade,MODERATE_CONDITIONAL,ENRICH,"grade, casting_speed_m_min, defect_rate",unclassified,"MISSING: grade, casting_speed_m_min",GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; declared variable(s) absent from the generated plant: grade, casting_speed_m_min",the minimum-defect speed band for at least two grades differs by more than the band width,C28,C21,a single-grade cohort must show one band
MODERATE_CONDITIONAL-027,Finishing temperature optimum shifts with gauge,MODERATE_CONDITIONAL,ENRICH,"finishing_temp_c, gauge_mm, defect_rate",unclassified,"MISSING: finishing_temp_c, gauge_mm",GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; declared variable(s) absent from the generated plant: finishing_temp_c, gauge_mm",the minimum-defect finishing temperature differs across gauge terciles,C28,C23,a fixed-gauge cohort must show one optimum
MODERATE_CONDITIONAL-028,Superheat effect depends on casting speed,MODERATE_CONDITIONAL,EXISTING,"superheat_c, casting_speed_m_min, defect_rate",unclassified,MISSING: casting_speed_m_min,SOURCE_VARIABLE_NOT_MATERIALISED,declared variable(s) absent from the generated plant: casting_speed_m_min,the defect rate in the high-superheat high-speed cell exceeds each marginal by more than 50 percent,C28,C27,low-speed cohort must be flat in superheat
MODERATE_CONDITIONAL-029,Grade sensitivity to defect family,MODERATE_CONDITIONAL,EXISTING,"grade, defect_code",unclassified,MISSING: grade,SOURCE_VARIABLE_NOT_MATERIALISED,declared variable(s) absent from the generated plant: grade,the top grade defect rate is at least twice the bottom grade rate,C09,C08,a random grade relabel must flatten it
MODERATE_CONDITIONAL-030,Equipment effect on defect rate after grade conditioning,MODERATE_CONDITIONAL,ENRICH,"equipment, grade, defect_rate",unclassified,"MISSING: equipment, grade",GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; declared variable(s) absent from the generated plant: equipment, grade",the equipment effect remains significant after conditioning on grade,C10,C29,a random equipment relabel must flatten it
MODERATE_CONDITIONAL-031,Thickness band changes the optimum operating window,MODERATE_CONDITIONAL,ENRICH,"gauge_mm, casting_speed_m_min, defect_rate",unclassified,"MISSING: gauge_mm, casting_speed_m_min",GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; declared variable(s) absent from the generated plant: gauge_mm, casting_speed_m_min",the optimum window differs across at least two gauge bands,C28,C21,a fixed-gauge cohort must show one window
MODERATE_CONDITIONAL-032,Tundish age effect concentrated in the first and last heats of a sequence,MODERATE_CONDITIONAL,ENRICH,"tundish_age_min, sequence_position, defect_rate",unclassified,"MISSING: tundish_age_min, sequence_position",GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; declared variable(s) absent from the generated plant: tundish_age_min, sequence_position",defect rate in the first and last sequence positions exceeds the mid-sequence rate,C19,C25,mid-sequence heats must be flat
MODERATE_CONDITIONAL-033,Ladle reline age against temperature loss,MODERATE_CONDITIONAL,EXISTING,"ladle_reline_count, lf_arrival_temp_c, lf_departure_temp_c",unclassified,"MISSING: ladle_reline_count, lf_arrival_temp_c, lf_departure_temp_c",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: ladle_reline_count, lf_arrival_temp_c, lf_departure_temp_c",temperature loss rises across ladle_reline_count quartiles,C19,C18,a random ladle relabel must flatten it
MODERATE_CONDITIONAL-034,Charge mix affects tap temperature spread,MODERATE_CONDITIONAL,EXISTING,"scrap_ratio, dri_ratio, tap_temp_c",unclassified,"MISSING: scrap_ratio, dri_ratio",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: scrap_ratio, dri_ratio",tap temperature variance differs across scrap-ratio terciles,C20,C21,a random charge relabel must flatten it
MODERATE_CONDITIONAL-035,Alloy addition accuracy by grade,MODERATE_CONDITIONAL,ENRICH,"grade, alloy_addition_kg, target_chemistry_deviation",unclassified,"MISSING: grade, alloy_addition_kg, target_chemistry_deviation",GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; declared variable(s) absent from the generated plant: grade, alloy_addition_kg, target_chemistry_deviation",mean absolute chemistry deviation differs across grades,C12,C21,a random grade relabel must flatten it
MODERATE_CONDITIONAL-036,Chemistry conformance rate by grade,MODERATE_CONDITIONAL,NEW,"grade, element_actual, grade_min, grade_max",unclassified,"MISSING: grade, element_actual, grade_min, grade_max",GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status NEW; declared variable(s) absent from the generated plant: grade, element_actual, grade_min, grade_max",at least one heat falls outside its grade band and at least one sits inside,C12,C09,a grade with no spec must render neutral
MODERATE_CONDITIONAL-037,Sequence length affects slab quality spread,MODERATE_CONDITIONAL,ENRICH,"sequence_length, slab_defect_rate",unclassified,"MISSING: sequence_length, slab_defect_rate",GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; declared variable(s) absent from the generated plant: sequence_length, slab_defect_rate",slab defect rate rises with position in long sequences but not in short ones,C06,C09,short sequences must not drift
MODERATE_CONDITIONAL-038,Coil position within a slab affects surface defect density,MODERATE_CONDITIONAL,ENRICH,"position_m, defect_count",unclassified,MISSING: position_m,GENERATOR_SCOPE_NOT_IMPLEMENTED,matrix status ENRICH; declared variable(s) absent from the generated plant: position_m,defect density in the first and last 10 percent of coil length exceeds the middle 80 percent,C11,C08,the body must be flat
MODERATE_CONDITIONAL-039,Transverse defect position clusters at the edges,MODERATE_CONDITIONAL,EXISTING,"width_position_mm, defect_code",unclassified,MISSING: width_position_mm,SOURCE_VARIABLE_NOT_MATERIALISED,declared variable(s) absent from the generated plant: width_position_mm,defect density in the outer 15 percent of strip width exceeds the centre,C11,C09,a uniform-random control must not cluster
MODERATE_CONDITIONAL-040,QA pass rate by grade family and gauge,MODERATE_CONDITIONAL,EXISTING,"grade_family, gauge_mm, qa_result",unclassified,"MISSING: grade_family, gauge_mm, qa_result",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: grade_family, gauge_mm, qa_result",QA pass rate differs across the grade-by-gauge cells,C21,C30,a random relabel must flatten it
MODERATE_CONDITIONAL-041,Pickling defects concentrate on high-scale coils,MODERATE_CONDITIONAL,ENRICH,"scale_index, pkl_defect_flag",unclassified,"MISSING: scale_index, pkl_defect_flag",GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; declared variable(s) absent from the generated plant: scale_index, pkl_defect_flag",PKL defect rate is higher on high-scale coils,C10,C08,a random coil subset must not
MODERATE_CONDITIONAL-042,Yard dwell time rises for blocked grades,MODERATE_CONDITIONAL,ENRICH,"grade, dwell_hours, location",unclassified,"MISSING: grade, dwell_hours, location",GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; declared variable(s) absent from the generated plant: grade, dwell_hours, location",mean dwell hours is higher for coils with an open quality hold,C04,C06,released coils must not show it
MODERATE_CONDITIONAL-043,Downtime reason mix differs by equipment,MODERATE_CONDITIONAL,EXISTING,"equipment, downtime_reason, stopped_minutes",threshold_membership,"MISSING: equipment, downtime_reason",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: equipment, downtime_reason",the reason distribution differs across equipment by a chi-square test at p below 0.05,C16,C13,a random equipment relabel must flatten it
MODERATE_CONDITIONAL-044,Production impact per stoppage minute differs by equipment position,MODERATE_CONDITIONAL,ENRICH,"equipment, stopped_minutes, production_impact_minutes",unclassified,MISSING: equipment,GENERATOR_SCOPE_NOT_IMPLEMENTED,matrix status ENRICH; declared variable(s) absent from the generated plant: equipment,the impact-to-stopped ratio differs across equipment,C15,C16,a fully buffered unit must show near-zero impact
MODERATE_CONDITIONAL-045,Risk score concentration by material type,MODERATE_CONDITIONAL,EXISTING,"material_unit_type, risk_score",unclassified,MISSING: risk_score,SOURCE_VARIABLE_NOT_MATERIALISED,declared variable(s) absent from the generated plant: risk_score,mean risk score differs across material unit types,C33,C34,a random type relabel must flatten it
MODERATE_CONDITIONAL-046,Downtime concentrates on a clear loss leader,MODERATE_CONDITIONAL,EXISTING,"equipment, stopped_minutes",unclassified,MISSING: equipment,SOURCE_VARIABLE_NOT_MATERIALISED,declared variable(s) absent from the generated plant: equipment,the top equipment accounts for at least 30 percent of total stopped minutes,C13,C16,a random equipment relabel must flatten it
MODERATE_CONDITIONAL-047,Evidence population differs materially by cohort,MODERATE_CONDITIONAL,EXISTING,"grade, gauge_band, population_count",unclassified,"MISSING: grade, gauge_band, population_count",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: grade, gauge_band, population_count",at least one cohort falls below the readiness population threshold and at least one is above it,C32,C31,a uniform-random cohort split must not differ
MODERATE_CONDITIONAL-048,Engine state reports Blocked with a named reason on at least one dimension,MODERATE_CONDITIONAL,EXISTING,"readiness_dimension, measured_value, threshold",unclassified,"MISSING: readiness_dimension, measured_value, threshold",SOURCE_VARIABLE_NOT_MATERIALISED,"declared variable(s) absent from the generated plant: readiness_dimension, measured_value, threshold","every readiness dimension renders a measured value and its threshold, and no widget claims a prediction the engine did not make",C36,C31,no dimension may report Ready without a number
REGIME-049,Day shift runs conservatively: lower parameter variance,REGIME,ENRICH,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",variance_comparison,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",casting speed variance on day shift is lower than on night shift by at least 20 percent,C22,C19,a random shift relabel must flatten it
REGIME-050,Night shift carries wider parameter variance,REGIME,ENRICH,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",the shift means overlap within one standard deviation while the variances differ,C22,C23,a random shift relabel must flatten it
REGIME-051,Night shift shows a higher apparent defect rate,REGIME,ENRICH,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",variance_comparison,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",the unconditioned night defect rate exceeds day by at least 15 percent,C02,C09,a random shift relabel must flatten it
REGIME-052,Night shift ran a harder grade family - the confounder,REGIME,ENRICH,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",threshold_membership,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",the grade mix differs across shifts by a chi-square test at p below 0.05,C03,C29,a balanced-grade cohort must show no difference
REGIME-053,Conditioning on grade shrinks the shift mean difference,REGIME,ENRICH,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",the grade-conditioned shift mean difference is at least 40 percent smaller than the unconditioned one,C29,C22,-
REGIME-054,Residual shift variance survives conditioning and drives defects,REGIME,ENRICH,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",after conditioning on grade the shift variance difference remains and correlates with defect rate,C22,C23,-
REGIME-055,Crew rotation pattern is visible in production volume,REGIME,EXISTING,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,production volume shows a repeating pattern aligned to the crew rota,C02,C01,a random crew relabel must flatten it
REGIME-056,Shift changeover shows a short throughput dip,REGIME,NEW,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status NEW; the declaration names no concrete column, so nothing can be queried",mean cycle time in the 30 minutes after a changeover exceeds the shift mean,C05,C01,mid-shift must be flat
REGIME-057,Downtime response time differs by shift,REGIME,ENRICH,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",mean stopped_minutes per event differs across shifts,C14,C16,a random shift relabel must flatten it
REGIME-058,First heat after maintenance: raised power-on time,REGIME,NEW,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",variance_comparison,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status NEW; the declaration names no concrete column, so nothing can be queried",power_on_min for heat 1 after a maintenance event exceeds the steady-campaign mean by at least 15 percent,C17,C05,steady-campaign heats must be flat
REGIME-059,First heat after maintenance: raised energy per tonne,REGIME,NEW,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status NEW; the declaration names no concrete column, so nothing can be queried",electricity_mwh per tonne decays monotonically across heats 1 to 5 after a maintenance event,C17,C19,steady-campaign heats must be flat
REGIME-060,First heat after maintenance: raised temperature variance,REGIME,NEW,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status NEW; the declaration names no concrete column, so nothing can be queried",tap temperature variance in heats 1 to 3 after maintenance exceeds the steady-campaign variance,C17,C20,steady-campaign heats must be flat
REGIME-061,EAF warm-up recovery shape,REGIME,NEW,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status NEW; the declaration names no concrete column, so nothing can be queried",the EAF warm-up recovery curve differs in shape from the ladle reline curve,C17,C18,-
REGIME-062,Ladle refractory campaign reset shape,REGIME,NEW,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status NEW; the declaration names no concrete column, so nothing can be queried",the ladle reline recovery decays over a different number of heats than the EAF warm-up,C17,C18,-
REGIME-063,HSM roll change improves surface quality initially,REGIME,NEW,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status NEW; the declaration names no concrete column, so nothing can be queried",defect rate in the first 200 coils after a roll change is below the campaign mean,C18,C07,-
REGIME-064,Ageing roll campaign raises roll-mark and wavy-edge rates,REGIME,EXISTING,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,ROLL_MARK and WAVY_EDGE rates rise monotonically across campaign-age quartiles,C18,C26,a fresh campaign must be flat
REGIME-065,Tundish age rises across a casting sequence,REGIME,EXISTING,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,tundish_age_min rises monotonically within a sequence and resets at sequence start,C18,C19,-
REGIME-066,Refractory age effect on temperature loss grows across a campaign,REGIME,ENRICH,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion",unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",temperature loss rises monotonically across refractory-age quartiles,C18,C19,-
TEMPORAL-067,Mid-month practice change shifts casting speed distribution,TEMPORAL,NEW,the time axis and the variable named in the assertion,step_change,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status NEW; the declaration names no concrete column, so nothing can be queried",a trend chart shows a step whose date matches a recorded maintenance or practice event,C19,C20,a randomly time-shifted control must show no boundary
TEMPORAL-068,Roll change creates a visible regime boundary in defect rate,TEMPORAL,ENRICH,the time axis and the variable named in the assertion,step_change,NOT RESOLVABLE - the declaration defers to the assertion text,GENERATOR_SCOPE_NOT_IMPLEMENTED,"matrix status ENRICH; the declaration names no concrete column, so nothing can be queried",the defect-rate step date matches a roll change recorded in the downtime source,C07,C18,a randomly time-shifted control must show no boundary
TEMPORAL-069,Weekly production rhythm - weekday against weekend,TEMPORAL,EXISTING,the time axis and the variable named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,weekend daily volume is below the weekday mean,C01,C02,a randomly time-shifted control must show no boundary
TEMPORAL-070,Monthly throughput trend across the three-month window,TEMPORAL,EXISTING,the time axis and the variable named in the assertion,unclassified,NOT RESOLVABLE - the declaration defers to the assertion text,DECLARATION_NOT_NUMERIC,the declaration defers its variables to the assertion prose; no concrete column is named,weekly throughput shows a monotonic component across the window,C01,C05,a randomly time-shifted control must show no boundary
