"RelativePath","ItemType","Area","Classification","Recommendation","FileCount","SizeKB","Reason"
"Backend\tools\GenerateProjectDocumentation_Advanced - BackendOnly.ps1","File","Backend tools","REVIEW","Manual review required","1","21.39","Backend tooling requires active-use decision."
"Backend\tools\GenerateProjectDocumentation_Advanced.ps1","File","Backend tools","REVIEW","Manual review required","1","32.16","Backend tooling requires active-use decision."
"Backend\tools\phase0","Directory","Backend tools","REVIEW","Manual review required","4","28.48","Backend tooling requires active-use decision."
"Backend\tools\validate-sprint6-tasks-4-8.ps1","File","Backend tools","REVIEW","Manual review required","1","6.76","Backend tooling requires active-use decision."
"Frontend\PlantProcess.Web\scripts\check-bundle-size.mjs","File","Frontend scripts","REVIEW","Manual review required","1","2.24","Frontend script requires active-use decision."
"Frontend\PlantProcess.Web\scripts\codemods","Directory","Frontend scripts","REVIEW","Manual review required","1","1.64","Frontend script requires active-use decision."
"Frontend\PlantProcess.Web\scripts\probes","Directory","Frontend scripts","REVIEW","Manual review required","5","2.31","Frontend script requires active-use decision."
"Frontend\PlantProcess.Web\scripts\validate-api-client-policy.mjs","File","Frontend scripts","REVIEW","Manual review required","1","2.16","Frontend script requires active-use decision."
"Frontend\PlantProcess.Web\scripts\validate-forbidden-copy.mjs","File","Frontend scripts","REVIEW","Manual review required","1","1.81","Frontend script requires active-use decision."
"Frontend\PlantProcess.Web\scripts\validate-no-console-in-src.mjs","File","Frontend scripts","REVIEW","Manual review required","1","2.04","Frontend script requires active-use decision."
"Frontend\PlantProcess.Web\scripts\validate-standard-imports.mjs","File","Frontend scripts","REVIEW","Manual review required","1","1.83","Frontend script requires active-use decision."
"Frontend\PlantProcess.Web\scripts\validate-ui-system-rollout.mjs","File","Frontend scripts","REVIEW","Manual review required","1","1.15","Frontend script requires active-use decision."
"tools\.ppiq-phase2-package-patch.cjs","File","Root tools","REVIEW","Manual review required","1","1.2","Unclassified tool/script item."
"tools\dev-bootstrap.ps1","File","Root tools","REVIEW","Manual review required","1","12.96","Unclassified tool/script item."
"tools\GeneratePlantProcessIQ_UltimateAudit.ps1","File","Root tools","REVIEW","Manual review required","1","38.03","Unclassified tool/script item."
"tools\ml","Directory","Root tools","REVIEW","Manual review required","2","67.81","Unclassified tool/script item."
"tools\post-deploy-smoke.sh","File","Root tools","REVIEW","Manual review required","1","3.01","Unclassified tool/script item."
"tools\PPIQ_AUTH_STARTUP_DIAGNOSTIC.txt","File","Root tools","REVIEW","Manual review required","1","63.91","Unclassified tool/script item."
"tools\ppiq_phase2_files.txt","File","Root tools","REVIEW","Manual review required","1","124.91","Unclassified tool/script item."
"tools\ppiq_phase3_backend.txt","File","Root tools","REVIEW","Manual review required","1","24.24","Unclassified tool/script item."
"tools\scaffold-website-frontend.ps1","File","Root tools","REVIEW","Manual review required","1","44.6","Unclassified tool/script item."
"tools\scaffold-website-frontend-v2.ps1","File","Root tools","REVIEW","Manual review required","1","34.14","Unclassified tool/script item."
"tools\security","Directory","Root tools","REVIEW","Manual review required","1","1.25","Unclassified tool/script item."
"tools\tests","Directory","Root tools","REVIEW","Manual review required","2","12.39","Unclassified tool/script item."
"tools\validation","Directory","Root tools","VALIDATION_TO_TEST_TRIAGE","Convert important checks into unit/integration/E2E tests","23","72.23","Validation scripts should not be the permanent source of truth."
