"RelativePath","Folder","Extension","LineCount","SizeKB","DbCategory","RiskLevel","RecommendedAction","Reason"
"Backend\database\scripts\440_p5_ot_safe_acquisition.sql","Backend\database\scripts",".sql","117","4.81","Script","LOW","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script."
"Backend\database\scripts\511_v5_p02_hotpath_explain_review.sql","Backend\database\scripts",".sql","42","1.18","Script","LOW","Keep under scripts until migration/patch classification is confirmed.","SQL patch or database operation script."
"Backend\database\scripts\550_v5_p06_blended_provenance.sql","Backend\database\scripts",".sql","234","8.03","Script","LOW","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script."
"Backend\database\scripts\560_v5_p07_plant_connector_breadth.sql","Backend\database\scripts",".sql","227","8.4","Script","LOW","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script."
"Backend\database\scripts\600_v5_p11_outbound_notifications_leads.sql","Backend\database\scripts",".sql","271","9.25","Script","LOW","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script."
"Backend\database\scripts\610_v5_p12_i18n_rtl_mobile.sql","Backend\database\scripts",".sql","166","7.13","Script","LOW","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script."
"Backend\database\scripts\620_v5_p13_deployment_dr_portability.sql","Backend\database\scripts",".sql","279","9.12","Script","LOW","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script."
"Backend\database\scripts\670_pack_b4_connector_runtime_certification.sql","Backend\database\scripts",".sql","345","10.56","Script","LOW","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script."
"Backend\database\scripts\050_dashboard_phase8_9_10_indexes.sql","Backend\database\scripts",".sql","127","4.41","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\060_phase_8_9_dashboard_materialized_views.sql","Backend\database\scripts",".sql","117","4.21","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\070_fix_system_template_widget_codes.sql","Backend\database\scripts",".sql","94","3.63","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\071_validate_dashboard_performance.sql","Backend\database\scripts",".sql","145","4.37","Script","MEDIUM","Move later to validation/performance-check scripts, not normal migration flow.","Performance validation script, not schema migration."
"Backend\database\scripts\080_phase_3_4_connector_schema_foundation.sql","Backend\database\scripts",".sql","16","0.64","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\110_phase1_demo_source_shapes.sql","Backend\database\scripts",".sql","256","9.81","Script","MEDIUM","Keep as demo/source-system seed or source-shape script; do not hard-code into generic core migration flow.","Demo/source-system specific SQL. Keep separated from generic product schema."
"Backend\database\scripts\111_phase1_demo_mapping_views.sql","Backend\database\scripts",".sql","89","2.62","Script","MEDIUM","Keep as demo/source-system seed or source-shape script; do not hard-code into generic core migration flow.","Demo/source-system specific SQL. Keep separated from generic product schema."
"Backend\database\scripts\113_phase1_widget_script_layer.sql","Backend\database\scripts",".sql","78","3.1","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\115_phase2_integrity_audit.sql","Backend\database\scripts",".sql","236","6.96","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\116_phase2_operation_analytics_pilot_foundation.sql","Backend\database\scripts",".sql","272","9.63","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\120_phase02_canonical_schema_mapping_engine.sql","Backend\database\scripts",".sql","332","10.74","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\121_phase01_bootstrap_token_sweep.sql","Backend\database\scripts",".sql","23","0.94","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\130_phase03_two_stage_delta_import_architecture.sql","Backend\database\scripts",".sql","1889","62.19","Script","MEDIUM","Keep as demo/source-system seed or source-shape script; do not hard-code into generic core migration flow.","Demo/source-system specific SQL. Keep separated from generic product schema."
"Backend\database\scripts\140_phase02_demo_sources_genealogy_spine.sql","Backend\database\scripts",".sql","127","6.27","Script","MEDIUM","Keep as demo/source-system seed or source-shape script; do not hard-code into generic core migration flow.","Demo/source-system specific SQL. Keep separated from generic product schema."
"Backend\database\scripts\141_phase03_page_builder_foundation.sql","Backend\database\scripts",".sql","70","3.41","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\142_phase02_phase03_page_definition_and_demo_source_completion.sql","Backend\database\scripts",".sql","302","10.5","Script","MEDIUM","Keep as demo/source-system seed or source-shape script; do not hard-code into generic core migration flow.","Demo/source-system specific SQL. Keep separated from generic product schema."
"Backend\database\scripts\202_phase02_ml_compute_basic_correlations_hotfix.sql","Backend\database\scripts",".sql","96","3.29","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\203_phase02_ml_compute_v6_wrapper_hotfix.sql","Backend\database\scripts",".sql","39","1.26","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\206_fix_dashboard_widget_definition_schema_drift.sql","Backend\database\scripts",".sql","199","6.21","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\207_fix_dashboard_widget_expression_smallint_schema_drift.sql","Backend\database\scripts",".sql","173","6.51","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\251_p1_correlation_method_honesty.sql","Backend\database\scripts",".sql","30","1.5","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\300_p01_p02_security_access_control_spine.sql","Backend\database\scripts",".sql","365","12.36","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\310_p03_p04_mapping_genealogy_foundation.sql","Backend\database\scripts",".sql","903","29.71","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\311_p03_p04_fix_genealogy_walk_and_safe_sql.sql","Backend\database\scripts",".sql","246","7.3","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\312_p03_p04_completion_pack_a.sql","Backend\database\scripts",".sql","720","23.92","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\313_p03_p04_completion_pack_a_hotfix.sql","Backend\database\scripts",".sql","404","13.48","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\320_phase2_canonical_completion.sql","Backend\database\scripts",".sql","123","6.33","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\400_phase4_demo_costs_DEMO_ONLY.sql","Backend\database\scripts",".sql","20","0.96","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\400_phase4_value_engine.sql","Backend\database\scripts",".sql","60","2.82","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\410_phase5_suggestions.sql","Backend\database\scripts",".sql","40","1.79","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\420_phase6_assistant.sql","Backend\database\scripts",".sql","32","1.46","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\430_p4_production_assistant.sql","Backend\database\scripts",".sql","116","4.56","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\500_v5_p01_auth_argon2id_and_secret_hygiene.sql","Backend\database\scripts",".sql","41","1.46","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\520_v5_p03_timeseries_foundation.sql","Backend\database\scripts",".sql","427","15.8","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\530_v5_p04_assistant_model_gateway_boundary.sql","Backend\database\scripts",".sql","301","9.91","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\540_v5_p05_visual_mapper_foundation.sql","Backend\database\scripts",".sql","331","12.7","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\580_v5_p09_enterprise_identity_sso_scim.sql","Backend\database\scripts",".sql","329","9.98","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\590_v5_p10_signed_license_anti_tamper.sql","Backend\database\scripts",".sql","183","6.11","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\630_v5_p14_compliance_refactor_controls.sql","Backend\database\scripts",".sql","214","8.03","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\640_remaining_sensitive_data_catalog.sql","Backend\database\scripts",".sql","86","4.19","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\650_remaining_p10_ed25519_verified_license.sql","Backend\database\scripts",".sql","165","5.44","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\660_remaining_p09_sso_scim_runtime_certification.sql","Backend\database\scripts",".sql","259","7.56","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\665_pack_b35_mostly_green_task_closure.sql","Backend\database\scripts",".sql","171","10.52","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\scripts\680_pack_b5_private_model_gateway_ciso_controls.sql","Backend\database\scripts",".sql","327","10.98","Script","MEDIUM","Keep under scripts until migration/patch classification is confirmed. Idempotent markers detected.","SQL patch or database operation script. Phase/hotfix/validation naming should be normalized later."
"Backend\database\seed\001_basic_genealogy_seed.sql","Backend\database\seed",".sql","402","8.24","Seed","MEDIUM","Keep as demo/source-system seed or source-shape script; do not hard-code into generic core migration flow.","Demo/source-system specific SQL. Keep separated from generic product schema."
"Backend\database\seed\003_additional_demo_seed.sql","Backend\database\seed",".sql","156","11.04","Seed","MEDIUM","Keep under seed; classify as core/demo/source-system seed. Idempotent markers detected.","Seed/demo data file. Phase/hotfix/validation naming should be normalized later."
"Backend\database\seed\005_phase0_job_definitions.sql","Backend\database\seed",".sql","146","3.24","Seed","MEDIUM","Keep under seed; classify as core/demo/source-system seed. Idempotent markers detected.","Seed/demo data file. Phase/hotfix/validation naming should be normalized later."
"Backend\database\seed\090_phase1_dashboard_builder_indexes.sql","Backend\database\seed",".sql","128","4.79","Seed","MEDIUM","Keep under seed; classify as core/demo/source-system seed. Idempotent markers detected.","Seed/demo data file. Phase/hotfix/validation naming should be normalized later."
"Backend\database\seed\090_phase1_system_dashboard_templates.sql","Backend\database\seed",".sql","412","8.96","Seed","MEDIUM","Keep under seed; classify as core/demo/source-system seed. Idempotent markers detected.","Seed/demo data file. Phase/hotfix/validation naming should be normalized later."
"Backend\database\seed\091_phase1_dashboard_builder_explain_validate.sql","Backend\database\seed",".sql","54","1.57","Seed","MEDIUM","Move later to validation/performance-check scripts, not normal migration flow.","Performance validation script, not schema migration."
"Backend\database\seed\20260511_phase_c_staging_records.sql","Backend\database\seed",".sql","51","1.88","Seed","MEDIUM","Keep under seed; classify as core/demo/source-system seed. Idempotent markers detected.","Seed/demo data file. Phase/hotfix/validation naming should be normalized later."
"Backend\database\seed\source-systems\synthetic_hsm_source_insert.sql","Backend\database\seed\source-systems",".sql","2821","943.78","SourceSystemSeed","MEDIUM","Keep under source-system demo seed group. Exclude from base app schema flow.","Large source-system synthetic seed should be optional demo data."
"Backend\database\seed\source-systems\synthetic_inspection_source_insert.sql","Backend\database\seed\source-systems",".sql","6601","2186.86","SourceSystemSeed","MEDIUM","Keep under source-system demo seed group. Exclude from base app schema flow.","Large source-system synthetic seed should be optional demo data."
"Backend\database\seed\source-systems\synthetic_qms_source_insert.sql","Backend\database\seed\source-systems",".sql","419","117.71","SourceSystemSeed","MEDIUM","Keep under source-system demo seed group. Exclude from base app schema flow.","Large source-system synthetic seed should be optional demo data."
"Backend\database\views\006_dashboard_dataset_views.sql","Backend\database\views",".sql","56","1.98","View","MEDIUM","Keep under views; verify idempotency and apply order. Idempotent markers detected.","Database view/read-model SQL. Phase/hotfix/validation naming should be normalized later."
