"RelativePath","SourceArea","FileType","LineCount","Priority","RecommendedAction","TargetTestLayer","TargetLocation","Reason","ConversionNotes"
"tools\validation\validate-phase01-phase02-v5-gates.mjs","Root tools validation",".mjs","76","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\Validate-Phase01-Phase02-v5-Gates.ps1","Root tools validation",".ps1","12","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\validate-phase03-gates.mjs","Root tools validation",".mjs","100","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\Validate-Phase1-Hardening-Website.ps1","Root tools validation",".ps1","155","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\Validate-Phase2-Step1-Step2.ps1","Root tools validation",".ps1","112","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\Validate-Phase2-Step3-Step5.ps1","Root tools validation",".ps1","77","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\validate-sql-script-hygiene.cjs","Root tools validation",".cjs","62","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\validate-t208-exposure.cjs","Root tools validation",".cjs","43","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\validate-v6-phase01-phase02-completion.cjs","Root tools validation",".cjs","49","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\validate-v7-phase01.cjs","Root tools validation",".cjs","73","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\validate-v7-phase01-acceptance.cjs","Root tools validation",".cjs","95","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\validate-v7-phase02-phase03-acceptance.cjs","Root tools validation",".cjs","74","P2","KEEP_AS_OPERATIONAL_VALIDATION","Operational script / CI guard","scripts\env, scripts\run, scripts\hygiene, deploy\ci","Environment, deploy, repo hygiene, and port checks are better kept as operational validators or CI guards.","Keep as script for now. Later wire into CI pipeline instead of converting to product unit tests."
"tools\validation\Validate-Phase03-Gates.ps1","Root tools validation",".ps1","10","P2","MANUAL_REVIEW","Manual review","Documentation/testing backlog","Validation script needs manual review before conversion.","Inspect assertions and decide whether this belongs in unit, integration, E2E, CI, or operational validation."
