| No. | Task Name                                            | Task Level | Backend / Frontend / Both | Task Group                | Task Brief Description                       | Task Detailed Description                                                                                                                                                      | Task Validation                                                |
|  10 | Verify backend API port configuration                | Critical   | Backend                   | Configuration             | Confirm API does not rely on fixed port.     | Validate API can run through `ASPNETCORE_URLS` or environment configuration without editing source files.                                                                      | API runs on custom port.                                       |
|  11 | Verify frontend port configuration                   | Important  | Frontend                  | Configuration             | Confirm Vite port can be changed.            | Validate frontend can run on a configured port and still communicate with backend through environment variables.                                                               | Frontend runs on custom port.                                  |
|  12 | Verify database port configuration                   | Critical   | Backend                   | Configuration             | Remove hardcoded DB assumptions.             | Ensure DB host, port, database, username, and password are environment-driven, not hardcoded in development JSON.                                                              | DB connection changes without code/config-file editing.        |
|  13 | Confirm CORS origins are configurable                | Critical   | Backend                   | Configuration             | Validate deployment-safe CORS.               | Keep allowed origins configurable by appsettings and environment variable. Production must reject empty or localhost-only unsafe origins.                                      | Startup validation catches missing/unsafe CORS.                |
|  14 | Verify no hidden frontend localhost fallback         | Critical   | Frontend                  | Configuration             | Prevent accidental wrong API target.         | Confirm `VITE_API_BASE_URL` is required and the frontend fails clearly if it is missing. No silent localhost fallback should exist.                                            | Missing API URL shows clear configuration error.               |
|  15 | Create full-stack `.env.example`                     | Critical   | Both                      | Configuration             | Make setup repeatable.                       | Add all required variables for API URL, ports, DB, CORS, logging, secrets, and feature flags. This is required for Docker/team/demo setup.                                     | New developer can run setup from `.env.example`.               |
|  16 | Validate Docker Compose variables                    | Important  | Both                      | Configuration             | Make Docker portable.                        | Update Docker Compose to consume env variables for API, frontend, PostgreSQL, and allowed origins.                                                                             | Docker starts with custom env values.                          |
|  17 | Add Swagger/OpenAPI examples                         | Important  | Backend                   | Developer Experience      | Improve API usability.                       | Add useful examples for dashboard query, source registration, mapping preview, import batch, readiness, and report endpoints.                                                  | Swagger shows grouped endpoints with useful request examples.  |
|  18 | Complete widget dimension and measure step           | Critical   | Frontend                  | Dashboard Builder         | Add wizard step 3.                           | Extend the wizard to select dimension, measure, and parameter where required using backend metadata compatibility rules.                                                       | Wizard validates selected dimension/measure before continuing. |
|  19 | Complete widget filter step                          | Critical   | Frontend                  | Dashboard Builder         | Add filter configuration.                    | Add site, area, equipment, material type, defect, risk class, source system, date range, and parameter filters.                                                                | Filter state is correctly included in widget query DTO.        |
|  20 | Complete widget preview step                         | Critical   | Both                      | Dashboard Builder         | Preview widget before saving.                | Call backend widget query endpoint and render chart/table preview inside the wizard. Show validation errors clearly.                                                           | Preview displays backend data or clear error.                  |
|  21 | Add dashboard/widget save API                        | Critical   | Backend                   | Dashboard Persistence     | Persist widgets in DB.                       | Add endpoints and services to create, update, delete, and retrieve dashboards and widgets using `DashboardDefinition` and `DashboardWidgetDefinition`.                         | Saved widgets are stored and reloadable from DB.               |
|  22 | Save widget from frontend wizard                     | Critical   | Frontend                  | Dashboard Persistence     | Finish add-widget flow.                      | After preview, save the widget to backend and refresh the dashboard workspace automatically.                                                                                   | New widget appears and survives refresh.                       |
|  23 | Persist dashboard layout to backend                  | Critical   | Both                      | Dashboard Persistence     | Replace localStorage layout.                 | Save grid layout to backend instead of relying on localStorage. Keep localStorage only as fallback or temporary draft cache.                                                   | Layout survives browser/device change.                         |
|  24 | Add widget edit, remove, and clone                   | Important  | Both                      | Dashboard Builder         | Manage saved widgets.                        | Add widget action menu for rename, edit, remove, duplicate, hide, collapse, and fullscreen.                                                                                    | User can edit, clone, and delete saved widgets.                |
|  25 | Add system dashboard templates                       | Important  | Both                      | Dashboard Templates       | Provide ready dashboards.                    | Seed templates for Quality Overview, Risk Dashboard, Data Quality, Correlation, and Material Investigation.                                                                    | New environment has useful dashboard templates.                |
|  26 | Add dashboard performance indexes                    | Critical   | Backend                   | Performance               | Prevent slow dashboard queries.              | Add indexes on material, timestamps, equipment, quality event date, defect, risk class, source system, and process step references.                                            | Dashboard queries remain fast on large demo data.              |
|  27 | Create `ConnectionProfile` entity                    | Critical   | Backend                   | Connector Foundation      | Store source connection metadata.            | Add provider, connection mode, host, port, database/schema, file path, API URL, active flag, and read-only flag.                                                               | Migration creates and queries connection profiles.             |
|  28 | Add provider type classification enum                | Critical   | Backend                   | Connector Foundation      | Normalize provider types.                    | Define providers such as CSV, Excel, PostgreSQL, SQL Server, Oracle, MySQL, and REST API.                                                                                      | Provider type is stored and returned correctly.                |
|  29 | Add `SecretReference` strategy                       | Critical   | Backend                   | Connector Security        | Avoid storing passwords.                     | Store secret references instead of plain credentials, resolving from environment variables, Docker secrets, or future vault integration.                                       | No plain password is saved or returned.                        |
|  30 | Add connection validation rules                      | Critical   | Backend                   | Connector Foundation      | Validate profile fields.                     | Enforce required profile fields based on provider type and connection mode.                                                                                                    | Invalid profiles return clear validation errors.               |
|  31 | Create `SourceDatasetDefinition` entity              | Critical   | Backend                   | Source Schema             | Represent source tables/files/sheets.        | Store dataset name, type, schema, table/view/file/sheet name, profile ID, and discovery metadata.                                                                              | Dataset records link to connection profiles.                   |
|  32 | Create `SourceFieldDefinition` entity                | Critical   | Backend                   | Source Schema             | Represent source columns.                    | Store field name, source data type, nullable flag, ordinal, sample value, and profiling metadata.                                                                              | Fields are discovered and saved per dataset.                   |
|  33 | Link `StagingRecord` to source dataset               | Critical   | Backend                   | Staging                   | Improve lineage.                             | Add `SourceDatasetDefinitionId` so each staged row knows its exact source dataset, not only source system.                                                                     | Staging rows can be traced to dataset and field metadata.      |
|  34 | Define connector abstraction interfaces              | Critical   | Backend                   | Connector Framework       | Create generic connector contract.           | Add `IDataSourceConnector`, `ISchemaReader`, and `IDataSourceReader` interfaces in Application.                                                                                | Interfaces compile without Infrastructure dependency.          |
|  35 | Add connector factory                                | Critical   | Backend                   | Connector Framework       | Resolve connector by provider.               | Implement factory in Infrastructure to return the correct connector implementation based on provider type.                                                                     | Factory resolves correct connector.                            |
|  36 | Add connection test endpoint                         | Critical   | Backend                   | Connector Framework       | Test source connectivity.                    | Add endpoint to validate connection profile, resolve secret reference, and return success/failure with response time.                                                          | Valid source passes; invalid source returns clear error.       |
|  37 | Add CSV connector MVP                                | Critical   | Backend                   | Connector Framework       | First safe connector.                        | Implement CSV schema discovery, sample preview, and import-to-staging. CSV is the best first customer-safe connector.                                                          | CSV fields discovered and rows staged.                         |
|  38 | Add Excel connector MVP                              | Important  | Backend                   | Connector Framework       | Support spreadsheet exports.                 | Implement sheet discovery, header detection, field extraction, sample preview, and staging import.                                                                             | Excel sheet preview and import work.                           |
|  39 | Add PostgreSQL connector MVP                         | Important  | Backend                   | Connector Framework       | Read external PostgreSQL sources.            | Implement read-only discovery and sample reading from external PostgreSQL databases.                                                                                           | External PostgreSQL schema preview works.                      |
|  40 | Add SQL Server connector MVP                         | Important  | Backend                   | Connector Framework       | Read MES/L2 MSSQL sources.                   | Implement read-only table/view/field discovery and sample preview using SQL Server connector.                                                                                  | MSSQL source preview works.                                    |
|  41 | Add Oracle connector MVP                             | Important  | Backend                   | Connector Framework       | Read Oracle plant databases.                 | Implement Oracle connector skeleton and read-only schema discovery for Oracle-heavy industrial environments.                                                                   | Oracle connector validates config and discovers fields.        |
|  42 | Add schema discovery API                             | Critical   | Backend                   | Source Schema             | Discover and store source schema.            | Add endpoint to discover datasets and fields from a selected connection profile and save them.                                                                                 | Discovery creates/updates dataset and field metadata.          |
|  43 | Add sample rows preview API                          | Critical   | Backend                   | Source Schema             | Preview source rows.                         | Return a limited preview of rows before staging/importing data. This is essential for mapping confidence.                                                                      | Preview returns rows matching discovered fields.               |
|  44 | Add source dataset and field discovery UI            | Important  | Frontend                  | Source UI                 | Browse discovered source schema.             | Add UI to trigger schema discovery and browse datasets, fields, data types, and sample values.                                                                                 | User can discover and view source schema from UI.              |
|  45 | Add source management UI                             | Important  | Frontend                  | Source UI                 | Manage source connections.                   | Add pages to create, edit, test, activate, and deactivate connection profiles.                                                                                                 | User can manage connection profiles from UI.                   |
|  46 | Upgrade staging lifecycle states                     | Critical   | Backend                   | Staging                   | Track import lifecycle.                      | Add/confirm states such as Created, Queued, Running, Completed, Failed, PartiallyMapped, Replayed, and Skipped.                                                                | Status transitions are valid and traceable.                    |
|  47 | Add row checksum/hash                                | Important  | Backend                   | Staging                   | Detect duplicate raw rows.                   | Compute deterministic hash per staged row to detect duplicates and changed rows.                                                                                               | Duplicate rows are skipped or flagged.                         |
|  48 | Add bulk staging insert optimization                 | Important  | Backend                   | Staging                   | Support large imports.                       | Use efficient bulk insert for staging records, ideally PostgreSQL COPY for large CSV/source loads.                                                                             | Large import completes within acceptable time/memory.          |
|  49 | Add import monitoring UI                             | Important  | Frontend                  | Operations UI             | Monitor import batches.                      | Show import batch status, row counts, failures, timestamps, and rerun options.                                                                                                 | User can inspect running/completed/failed imports.             |
|  50 | Upgrade `MappingDefinition` for field-level mapping  | Critical   | Backend                   | Mapping                   | Store source-to-canonical rules.             | Add structured mapping rules linking source fields to canonical fields with transform and unit rules.                                                                          | Mapping rules save and reload correctly.                       |
|  51 | Add mapping validation service                       | Critical   | Backend                   | Mapping                   | Validate before execution.                   | Check missing required fields, invalid target fields, incompatible types, duplicate mappings, and unsupported transformations.                                                 | Invalid mappings cannot be activated.                          |
|  52 | Add mapping preview endpoint                         | Critical   | Both                      | Mapping                   | Preview canonical output.                    | Preview mapped rows before committing canonical records and show transformation errors clearly.                                                                                | Preview shows canonical output and error list.                 |
|  53 | Add transformation rules engine                      | Important  | Backend                   | Mapping                   | Transform source values.                     | Support trim, parse date, parse decimal, enum mapping, default value, lookup, and null handling.                                                                               | Transform rules produce expected results.                      |
|  54 | Add unit normalization service                       | Important  | Backend                   | Mapping                   | Normalize measurement units.                 | Convert common manufacturing units for temperature, length, mass, time, speed, pressure, and force.                                                                            | Unit conversions are mathematically correct.                   |
|  55 | Add mapping workbench API endpoints                  | Important  | Backend                   | Mapping                   | Support full mapping UI.                     | Add endpoints for source fields, canonical targets, mapping creation, validation, preview, activation, and execution.                                                          | Full mapping workflow works through API.                       |
|  56 | Add mapping workbench UI                             | Important  | Frontend                  | Mapping UI                | Visually map source fields.                  | Build UI with source fields, canonical target fields, transform rules, preview, validation errors, and save/activate actions.                                                  | User creates mapping without editing JSON manually.            |
|  57 | Add failed-row viewer and rerun                      | Important  | Both                      | Mapping / Operations      | Fix failed imports/mappings.                 | Let users inspect failed rows, see error reasons, and rerun after fixing mapping or source data.                                                                               | Failed rows rerun successfully after correction.               |
|  58 | Add mapping versioning                               | Normal     | Backend                   | Mapping Governance        | Track mapping changes.                       | Store mapping version, effective date, author, and change reason.                                                                                                              | Editing mapping increments version.                            |
|  59 | Add source lineage consistently to canonical records | Important  | Backend                   | Data Lineage              | Ensure all mapped records trace back.        | Audit canonical entities so mapped records keep source system, import batch, dataset, and source record reference.                                                             | Canonical records show source lineage.                         |
|  60 | Perform canonical model neutrality audit             | Critical   | Backend                   | Domain Governance         | Confirm product is not steel-only.           | Review entities, services, DTOs, metadata, and seed data to ensure steel terms remain configuration/demo metadata only.                                                        | No steel-specific terms exist in core logic.                   |
|  61 | Add `QualityDecision` entity                         | Important  | Backend                   | Domain Model              | Store formal quality outcomes.               | Model Accept, Reject, Hold, Rework, Downgrade, Claim, or Release decisions separately from quality events.                                                                     | Material has explicit quality decision history.                |
|  62 | Add `InspectionResult` entity                        | Important  | Backend                   | Domain Model              | Store inspection-specific results.           | Model Visual, NDT, Dimensional, Camera, Manual, and Lab inspection results separately from broad quality events.                                                               | Inspection results link to material and equipment.             |
|  63 | Add `Sample` and `SampleResult` entities             | Normal     | Backend                   | Domain Model              | Store lab/sample data.                       | Model chemistry, mechanical, dimensional, environmental, or quality sample results.                                                                                            | Sample results link to material and process context.           |
|  64 | Add `ParameterWindow` entity                         | Important  | Backend                   | Process Intelligence      | Store expected process ranges.               | Configure min/max/target process windows by parameter, operation, equipment, route, material type, or industry template.                                                       | Reports/risk can show out-of-window parameters.                |
|  65 | Add `AggregatedFeature` entity and persistence       | Important  | Backend                   | Analytics Performance     | Persist feature-engineering outputs.         | Store calculated feature vectors per material to avoid repeated heavy recalculation.                                                                                           | Features are persisted and reused.                             |
|  66 | Add scheduled feature refresh job                    | Important  | Backend                   | Analytics Performance     | Keep features updated.                       | Add worker job to refresh aggregated features after imports/mapping executions.                                                                                                | New imports trigger feature refresh.                           |
|  67 | Add materialized/read-model refresh strategy         | Normal     | Backend                   | Performance               | Optimize heavy dashboard metrics.            | Add read-model/materialized aggregation refresh for expensive dashboard queries once datasets grow.                                                                            | Heavy dashboard queries use refreshed read models.             |
|  68 | Add quality label builder                            | Important  | Backend                   | ML Foundation             | Generate ML labels.                          | Build labels from quality events, decisions, defect catalogs, and time windows for defect/no-defect or reject/no-reject training.                                              | Label dataset is generated consistently.                       |
|  69 | Add Python baseline training script                  | Important  | Backend / ML              | ML Foundation             | Start real ML path.                          | Add script using scikit-learn to train baseline models from exported feature/label dataset.                                                                                    | Script trains model and outputs metrics.                       |
|  70 | Add prediction explanation storage                   | Important  | Backend                   | ML Explainability         | Store risk contributors.                     | Extend risk score/explanation storage with top contributing features, values, direction, and explanation text.                                                                 | Risk score contains explanation JSON.                          |
|  71 | Add model comparison in registry                     | Normal     | Backend                   | ML Governance             | Compare model versions.                      | Store AUC, precision, recall, F1, training window, validation window, and sample counts.                                                                                       | Two models can be compared and promoted.                       |
|  72 | Upgrade readiness scoring dimensions                 | Important  | Backend                   | Readiness Product         | Make readiness more detailed.                | Score source availability, schema, mapping, genealogy, data quality, correlation, and prediction readiness separately.                                                         | API returns dimension scores and reasons.                      |
|  73 | Add commercial readiness report endpoint             | Important  | Backend                   | Readiness Product         | Package readiness for customers.             | Create structured readiness report with findings, blockers, scores, pilot feasibility, and next actions.                                                                       | Readiness report returns all sections.                         |
|  74 | Add readiness PDF export                             | Important  | Backend                   | Reporting                 | Make readiness sales-ready.                  | Export readiness assessment into a formatted PDF for workshops and customer follow-up.                                                                                         | Readiness PDF is generated and readable.                       |
|  75 | Upgrade material investigation report                | Important  | Both                      | Reporting                 | Add full context.                            | Include genealogy, process timeline, parameters, risk contributors, quality decisions, inspection results, and data-quality issues.                                            | Report includes full investigation context.                    |
|  76 | Upgrade PDF export formatting                        | Important  | Backend                   | Reporting                 | Make report customer-grade.                  | Replace simple PDF output with branded sections, tables, charts, footer, timestamp, and disclaimer.                                                                            | PDF looks professional and customer-ready.                     |
|  77 | Upgrade correlation UI with genealogy context        | Important  | Frontend                  | Analytics UI              | Show upstream/downstream context.            | Display genealogy link mode, parent material, child material, process step, and depth for correlation results.                                                                 | Correlation UI shows genealogy-aware context.                  |
|  78 | Add authentication foundation                        | Critical   | Both                      | Security                  | Protect all APIs.                            | Implement JWT or Identity-based login and require authentication for API access.                                                                                               | Unauthenticated calls are rejected.                            |
|  79 | Add RBAC roles and permission policies               | Critical   | Both                      | Security                  | Restrict sensitive actions.                  | Add Admin, DataManager, Engineer, and Viewer roles with policies for source, mapping, dashboard, reports, and security.                                                        | Viewer cannot manage sources/mappings.                         |
|  80 | Add tenant/customer/site isolation                   | Critical   | Both                      | Security / Productization | Prepare for multi-customer future.           | Add tenant/customer boundary or at least design it now so future data isolation is not painful.                                                                                | Queries and writes are tenant/site scoped.                     |
|  81 | Add audit log entity and service                     | Critical   | Backend                   | Audit                     | Track critical changes.                      | Audit source profiles, mappings, imports, dashboards, widgets, reports, security actions, and risk calculations.                                                               | Critical write operations create audit records.                |
|  82 | Add data retention rules                             | Important  | Backend                   | Compliance                | Control retention.                           | Configure retention for staging data, failed rows, audit logs, reports, and risk scores.                                                                                       | Retention job applies configured policy.                       |
|  83 | Add secure secret resolution                         | Critical   | Backend                   | Security                  | Resolve credentials safely.                  | Resolve secrets from environment/Docker/future vault and mask them in logs/API.                                                                                                | Secrets are never logged or returned.                          |
|  84 | Add backend unit tests                               | Important  | Backend                   | Testing                   | Protect core services.                       | Test widget validation, mapping validation, data quality, risk scoring, feature engineering, and readiness scoring.                                                            | Core unit tests pass.                                          |
|  85 | Add integration tests with PostgreSQL                | Important  | Backend                   | Testing                   | Validate workflows.                          | Test import → staging → mapping → canonical → dashboard/correlation/report flow against real test DB.                                                                          | Integration suite passes.                                      |
|  86 | Add frontend component tests                         | Normal     | Frontend                  | Testing                   | Protect dashboard UI.                        | Test wizard navigation, filters, dashboard layout actions, and preview error handling.                                                                                         | UI tests pass.                                                 |
|  87 | Add CI/CD build pipeline                             | Important  | Both                      | DevOps                    | Automate validation.                         | Pipeline should run backend build, frontend build, tests, and optionally migration validation.                                                                                 | Pipeline runs on every commit/PR.                              |
|  88 | Create customer-safe synthetic dataset pack          | Important  | Both                      | Demo Data                 | Create repeatable demo data.                 | Prepare synthetic manufacturing data with known hidden patterns across genealogy, parameters, quality events, and risk.                                                        | Fresh DB can reproduce demo insights.                          |
|  89 | Prepare 10-minute end-to-end demo script             | Important  | Both                      | Sales Readiness           | Tell one clear product story.                | Script should cover source, mapping, readiness, dashboard, correlation, risk, investigation, and report.                                                                       | Demo can be delivered in 10 minutes.                           |
|  90 | Prepare pilot scope template                         | Important  | Both                      | Sales Readiness           | Control first customer pilot.                | Define route, defect family, data sources, required fields, deliverables, timeline, assumptions, and go/no-go criteria.                                                        | Template can be filled for a customer in under one hour.       |
|  91 | Create customer data discovery checklist             | Normal     | Both                      | Sales Readiness           | Guide readiness workshops.                   | Checklist should cover MES/L2/historian/lab/inspection/ERP sources, access method, keys, timestamps, genealogy, quality labels, and IT constraints.                            | Checklist supports a 90-minute workshop.                       |
|  92 | Create honest product capability summary             | Normal     | Both                      | Sales Governance          | Prevent over-promising.                      | Summarize what works today, what is partial, what is missing, and what must not be promised yet.                                                                               | Summary is updated after every sprint.                         |
|  93 | Add AI-assisted chart suggestion                     | Optional   | Both                      | AI Assistant              | Suggest widget config from natural language. | Only implement after widget builder and metadata validation are stable. AI output must pass backend validation before use.                                                     | Prompt creates valid pre-filled widget draft.                  |
|  94 | Add embedded BI integration option                   | Optional   | Both                      | BI Integration            | Support Qlik/Power BI embedding.             | Add optional embedded BI panel controlled by feature flag while keeping PlantProcess IQ as the intelligence backend.                                                           | BI panel loads when enabled and hides safely when disabled.    |
