phenomenon_class,phenomenon,source_systems,population,variables,intended_effect,noise,primary_chart,secondary_chart,dashboard,expected_analysis_result,negative_control,genealogy_requirement,status,assertion
STRONG,R9c BLISTER from nitrogen,"Meltshop, Parsytec","18,661 coils","n_ppm, defect_code",raised rate; NO RECORDED EFFECT SIZE,charge variation,C08,C09,P2,same family; separable from SLIVER by chemistry,SEAM,heat -> slab -> coil -> defect,EXISTING,MEASURE FIRST: BLISTER rate rises across nitrogen quartiles
STRONG,R10a PINHOLE from superheat,"Caster, Parsytec","18,661 coils","superheat_c, defect_code",raised rate; NO RECORDED EFFECT SIZE,tundish scatter,C28,C25,P5,"caster-origin, separable from HSM-origin defects by genealogy",SCRATCH,heat -> slab -> coil -> defect,EXISTING,MEASURE FIRST: PINHOLE rate rises across superheat quartiles
STRONG,R10b OSCILLATION_MARK from casting speed,"Caster, Parsytec","18,661 coils","casting_speed_m_min, defect_code",raised rate; NO RECORDED EFFECT SIZE,mould level variation,C27,C28,P5,"caster-origin, speed-linked",DENT,heat -> slab -> coil -> defect,EXISTING,MEASURE FIRST: OSCILLATION_MARK rate rises across casting-speed quartiles
STRONG,R11a GAUGE_DEV from slippage events,HSM,"18,661 coils","slippage_flag, gauge_target_mm, gauge_actual_mm",raised deviation; NO RECORDED EFFECT SIZE,mill scatter,C23,C24,P4,deviation magnitude rises where slippage occurred,a random coil subset must not,coil only,EXISTING,MEASURE FIRST: mean absolute gauge deviation is higher on slippage coils than on the rest
STRONG,R11b WIDTH_DEV from campaign wear,HSM,"18,661 coils","roll_campaign_age, width_target_mm, width_actual_mm",raised deviation; NO RECORDED EFFECT SIZE,mill scatter,C18,C24,P3,deviation grows with campaign age,a random coil subset must not,coil only,EXISTING,MEASURE FIRST: mean absolute width deviation rises across campaign-age quartiles
STRONG,"R12 oxygen_ppm from scrap ratio, meltshop-internal",Meltshop,"1,802 heats","scrap_ratio, oxygen_ppm",positive association; NO RECORDED EFFECT SIZE,tap-to-tap variation,C23,C25,P4,"meltshop-internal relation with no downstream outcome - a legitimate baseline, not a defect driver",a random heat subset must not,heat only,EXISTING,MEASURE FIRST: oxygen_ppm correlates positively with scrap_ratio across heats
STRONG,"R13 electricity_mwh from scrap ratio, cold furnace and bucket count",Meltshop,"1,802 heats","scrap_ratio, furnace_state, bucket_count, electricity_mwh",positive; NO RECORDED EFFECT SIZE,tap-to-tap variation,C19,C21,P4,energy per tonne is explainable by three named inputs,a random heat subset must not,heat only,EXISTING,MEASURE FIRST: electricity_mwh rises with bucket_count and is higher on cold-furnace heats
STRONG,"R14 power_on_min from buckets, scrap ratio and furnace state",Meltshop,"1,802 heats","bucket_count, scrap_ratio, furnace_state, power_on_min",positive; NO RECORDED EFFECT SIZE,tap-to-tap variation,C05,C19,P1,"cycle time is explainable, which is what makes chart 5 non-flat",a random heat subset must not,heat only,EXISTING,MEASURE FIRST: power_on_min is higher on cold-furnace heats than on hot heats
STRONG,"R15 caster breakout from superheat and scrap ratio, giving a 4-6 h production stoppage","Caster, Downtime",MEASURE: SELECT count(*) FROM src_inspection_mysql_shape.downtime_events -- no recorded figure in FLEET_RELATIONS.md,"superheat_c, scrap_ratio, downtime_minutes, downtime_reason",rare event with a large production cost,event rarity,C16,C15,P3,a small number of long stoppages dominate the Pareto,routine changeovers must not correlate with superheat,heat only,EXISTING,at least one breakout event exists with production_impact_minutes between 240 and 360
STRONG,"R16 HSM cobble downtime from slippage, transfer buffer absorbing the first 45 minutes","HSM, Downtime",MEASURE: SELECT count(*) FROM src_inspection_mysql_shape.downtime_events -- no recorded figure in FLEET_RELATIONS.md,"slippage_flag, stopped_minutes, production_impact_minutes",equipment stoppage exceeds production impact by up to 45 minutes,buffer state variation,C15,C13,P3,the paired-column chart shows two materially different bars - the single most distinctive chart in the set,a planned changeover must show stopped equal to impact,coil only,ENRICH,at least one cobble row has stopped_minutes minus production_impact_minutes between 1 and 45
STRONG,R17a PKL line speed inverse to gauge,PKL,"15,782 pickled coils","gauge_mm, line_speed_m_min",negative association; NO RECORDED EFFECT SIZE,line scatter,C23,C20,P4,a clean physical relation with no quality consequence - a legitimate baseline,a random coil subset must not,coil only,EXISTING,MEASURE FIRST: line_speed_m_min correlates negatively with gauge_mm
STRONG,Ranked contributors each carry resolvable provenance,"Engine, Parsytec","18,661 coils","driver_name, effect_size, q_value, evidence_handle",every ranked driver resolves to its population and its source rows,ranking instability at the tail,C34,C30,P6,"the ranking is by effect size with the q-value beside it, and every row opens its evidence",an unsourced driver must not appear in the ranking,heat -> slab -> coil -> defect,EXISTING,every row in the driver ranking carries a non-null evidence handle that resolves to source rows
STRONG,R17b QA yield and UTS by grade family,QA,"8,920 QA tests","grade_family, yield_mpa, uts_mpa",grade-separable mechanical properties,lab repeatability,C21,C30,P4,"box plots separate by grade family, which is what makes chart 21 non-identical",a random grade split must not separate,heat -> slab -> coil,EXISTING,MEASURE FIRST: yield_mpa distributions differ across grade families by a Kruskal-Wallis test at p below 0.05
MODERATE_CONDITIONAL,"Casting speed against defect rate, unconditioned","Caster, Parsytec","18,661 coils","casting_speed_m_min, defect_rate",conditional or moderate association,cohort-level variation,C27,C29,P5,a clear aggregate association before conditioning,SCRATCH,heat -> slab -> coil -> defect,EXISTING,the unconditioned association is significant at q=0.05
MODERATE_CONDITIONAL,"Casting speed against defect rate, conditioned on grade","Caster, Parsytec","18,661 coils","casting_speed_m_min, grade, defect_rate",conditional or moderate association,cohort-level variation,C29,C26,P5,the effect shrinks materially once grade is conditioned on - THE honesty moment,SCRATCH,heat -> slab -> coil -> defect,EXISTING,the conditioned effect size is at least 30 percent smaller than the unconditioned one and both are recorded
MODERATE_CONDITIONAL,Best casting speed band differs by grade,"Caster, Parsytec","18,661 coils","grade, casting_speed_m_min, defect_rate",conditional or moderate association,cohort-level variation,C28,C21,P5,no universal best speed - the band moves with grade,a single-grade cohort must show one band,heat -> slab -> coil -> defect,ENRICH,the minimum-defect speed band for at least two grades differs by more than the band width
MODERATE_CONDITIONAL,Finishing temperature optimum shifts with gauge,"HSM, Parsytec","18,661 coils","finishing_temp_c, gauge_mm, defect_rate",conditional or moderate association,cohort-level variation,C28,C23,P5,"an interaction surface, not a gradient",a fixed-gauge cohort must show one optimum,coil only,ENRICH,the minimum-defect finishing temperature differs across gauge terciles
MODERATE_CONDITIONAL,Superheat effect depends on casting speed,"Caster, Parsytec","18,661 coils","superheat_c, casting_speed_m_min, defect_rate",conditional or moderate association,cohort-level variation,C28,C27,P5,"the hot region in the heatmap is a corner, not a band",low-speed cohort must be flat in superheat,heat -> slab -> coil -> defect,EXISTING,the defect rate in the high-superheat high-speed cell exceeds each marginal by more than 50 percent
MODERATE_CONDITIONAL,Grade sensitivity to defect family,"Meltshop, Parsytec","18,661 coils","grade, defect_code",conditional or moderate association,cohort-level variation,C09,C08,P2,some grades materially more sensitive - chart 9 must not be even,a random grade relabel must flatten it,heat -> slab -> coil -> defect,EXISTING,the top grade defect rate is at least twice the bottom grade rate
MODERATE_CONDITIONAL,Equipment effect on defect rate after grade conditioning,"HSM, Parsytec","18,661 coils","equipment, grade, defect_rate",conditional or moderate association,cohort-level variation,C10,C29,P2,a unit-level truth that survives conditioning,a random equipment relabel must flatten it,coil only,ENRICH,the equipment effect remains significant after conditioning on grade
MODERATE_CONDITIONAL,Thickness band changes the optimum operating window,"Caster, HSM","18,661 coils","gauge_mm, casting_speed_m_min, defect_rate",conditional or moderate association,cohort-level variation,C28,C21,P5,context changes the answer,a fixed-gauge cohort must show one window,coil only,ENRICH,the optimum window differs across at least two gauge bands
MODERATE_CONDITIONAL,Tundish age effect concentrated in the first and last heats of a sequence,"Caster, Parsytec","18,661 coils","tundish_age_min, sequence_position, defect_rate",conditional or moderate association,cohort-level variation,C19,C25,P4,position within a sequence matters,mid-sequence heats must be flat,heat -> slab -> coil -> defect,ENRICH,defect rate in the first and last sequence positions exceeds the mid-sequence rate
MODERATE_CONDITIONAL,Ladle reline age against temperature loss,Meltshop,"1,802 heats","ladle_reline_count, lf_arrival_temp_c, lf_departure_temp_c",conditional or moderate association,cohort-level variation,C19,C18,P4,refractory age shows as heat loss,a random ladle relabel must flatten it,heat only,EXISTING,temperature loss rises across ladle_reline_count quartiles
MODERATE_CONDITIONAL,Charge mix affects tap temperature spread,Meltshop,"1,802 heats","scrap_ratio, dri_ratio, tap_temp_c",conditional or moderate association,cohort-level variation,C20,C21,P4,"distribution width, not just mean",a random charge relabel must flatten it,heat only,EXISTING,tap temperature variance differs across scrap-ratio terciles
MODERATE_CONDITIONAL,Alloy addition accuracy by grade,Meltshop,"1,802 heats","grade, alloy_addition_kg, target_chemistry_deviation",conditional or moderate association,cohort-level variation,C12,C21,P2,some grades are harder to hit than others,a random grade relabel must flatten it,heat only,ENRICH,mean absolute chemistry deviation differs across grades
MODERATE_CONDITIONAL,Chemistry conformance rate by grade,Meltshop,"1,802 heats","grade, element_actual, grade_min, grade_max",conditional or moderate association,cohort-level variation,C12,C09,P2,the conditional-format table has something to show,a grade with no spec must render neutral,heat only,NEW,at least one heat falls outside its grade band and at least one sits inside
MODERATE_CONDITIONAL,Sequence length affects slab quality spread,Caster,"18,661 slabs","sequence_length, slab_defect_rate",conditional or moderate association,cohort-level variation,C06,C09,P1,longer sequences drift,short sequences must not drift,heat -> slab -> coil,ENRICH,slab defect rate rises with position in long sequences but not in short ones
MODERATE_CONDITIONAL,Coil position within a slab affects surface defect density,"HSM, Parsytec","18,661 coils","position_m, defect_count",conditional or moderate association,cohort-level variation,C11,C08,P2,head and tail carry more defects than the body,the body must be flat,coil only,ENRICH,defect density in the first and last 10 percent of coil length exceeds the middle 80 percent
MODERATE_CONDITIONAL,Transverse defect position clusters at the edges,Parsytec,"34,312 defects, 20 codes","width_position_mm, defect_code",conditional or moderate association,cohort-level variation,C11,C09,P2,edge clustering visible in the position heatmap,a uniform-random control must not cluster,coil only,EXISTING,defect density in the outer 15 percent of strip width exceeds the centre
MODERATE_CONDITIONAL,QA pass rate by grade family and gauge,QA,"8,920 QA tests","grade_family, gauge_mm, qa_result",conditional or moderate association,cohort-level variation,C21,C30,P4,two-factor structure in the QA outcome,a random relabel must flatten it,heat -> slab -> coil,EXISTING,QA pass rate differs across the grade-by-gauge cells
MODERATE_CONDITIONAL,Pickling defects concentrate on high-scale coils,"PKL, Parsytec","15,782 pickled coils","scale_index, pkl_defect_flag",conditional or moderate association,cohort-level variation,C10,C08,P2,a downstream consequence of an upstream condition,a random coil subset must not,coil only,ENRICH,PKL defect rate is higher on high-scale coils
MODERATE_CONDITIONAL,Yard dwell time rises for blocked grades,Yard,MEASURE: SELECT count(*) FROM the excel-yard file source -- no recorded figure in FLEET_RELATIONS.md,"grade, dwell_hours, location",conditional or moderate association,cohort-level variation,C04,C06,P1,logistics reflects quality holds,released coils must not show it,coil only,ENRICH,mean dwell hours is higher for coils with an open quality hold
MODERATE_CONDITIONAL,Downtime reason mix differs by equipment,Downtime,MEASURE: SELECT count(*) FROM src_inspection_mysql_shape.downtime_events -- no recorded figure in FLEET_RELATIONS.md,"equipment, downtime_reason, stopped_minutes",conditional or moderate association,cohort-level variation,C16,C13,P3,each unit has a characteristic failure profile,a random equipment relabel must flatten it,coil only,EXISTING,the reason distribution differs across equipment by a chi-square test at p below 0.05
MODERATE_CONDITIONAL,Production impact per stoppage minute differs by equipment position,Downtime,MEASURE: SELECT count(*) FROM src_inspection_mysql_shape.downtime_events -- no recorded figure in FLEET_RELATIONS.md,"equipment, stopped_minutes, production_impact_minutes",conditional or moderate association,cohort-level variation,C15,C16,P3,upstream stoppages cost more than buffered ones,a fully buffered unit must show near-zero impact,coil only,ENRICH,the impact-to-stopped ratio differs across equipment
MODERATE_CONDITIONAL,Risk score concentration by material type,Engine,"18,661 coils","material_unit_type, risk_score",conditional or moderate association,cohort-level variation,C33,C34,P6,risk is not uniform across the population,a random type relabel must flatten it,coil only,EXISTING,mean risk score differs across material unit types
MODERATE_CONDITIONAL,Downtime concentrates on a clear loss leader,Downtime,MEASURE: SELECT count(*) FROM src_inspection_mysql_shape.downtime_events -- no recorded figure in FLEET_RELATIONS.md,"equipment, stopped_minutes",conditional or moderate association,cohort-level variation,C13,C16,P3,one or two units dominate the Pareto - chart 13 must not be even,a random equipment relabel must flatten it,coil only,EXISTING,the top equipment accounts for at least 30 percent of total stopped minutes
MODERATE_CONDITIONAL,Evidence population differs materially by cohort,Engine,"18,661 coils","grade, gauge_band, population_count",conditional or moderate association,cohort-level variation,C32,C31,P6,some cohorts carry enough evidence and some do not - which is what the readiness gate acts on,a uniform-random cohort split must not differ,coil only,EXISTING,at least one cohort falls below the readiness population threshold and at least one is above it
MODERATE_CONDITIONAL,Engine state reports Blocked with a named reason on at least one dimension,Engine,"18,661 coils","readiness_dimension, measured_value, threshold",conditional or moderate association,cohort-level variation,C36,C31,P6,"an honest refusal with the measured value beside its threshold - a legitimate operational baseline, not a defect driver",no dimension may report Ready without a number,coil only,EXISTING,"every readiness dimension renders a measured value and its threshold, and no widget claims a prediction the engine did not make"
REGIME,Day shift runs conservatively: lower parameter variance,"Meltshop, Caster",MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C22,C19,P4,variance lower than evening and night,a random shift relabel must flatten it,heat -> slab -> coil where the outcome is downstream,ENRICH,casting speed variance on day shift is lower than on night shift by at least 20 percent
REGIME,Night shift carries wider parameter variance,Caster,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C22,C23,P4,"variance higher, means overlapping",a random shift relabel must flatten it,heat -> slab -> coil where the outcome is downstream,ENRICH,the shift means overlap within one standard deviation while the variances differ
REGIME,Night shift shows a higher apparent defect rate,Parsytec,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C02,C09,P1,a visible naive difference,a random shift relabel must flatten it,heat -> slab -> coil where the outcome is downstream,ENRICH,the unconditioned night defect rate exceeds day by at least 15 percent
REGIME,Night shift ran a harder grade family - the confounder,Meltshop,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C03,C29,P1,"grade mix differs by shift, which is the confounder",a balanced-grade cohort must show no difference,heat -> slab -> coil where the outcome is downstream,ENRICH,the grade mix differs across shifts by a chi-square test at p below 0.05
REGIME,Conditioning on grade shrinks the shift mean difference,Parsytec,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C29,C22,P5,the mean difference shrinks materially but does not vanish,-,heat -> slab -> coil where the outcome is downstream,ENRICH,the grade-conditioned shift mean difference is at least 40 percent smaller than the unconditioned one
REGIME,Residual shift variance survives conditioning and drives defects,Parsytec,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C22,C23,P4,variance difference survives and correlates with defect probability,-,heat -> slab -> coil where the outcome is downstream,ENRICH,after conditioning on grade the shift variance difference remains and correlates with defect rate
REGIME,Crew rotation pattern is visible in production volume,Meltshop,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C02,C01,P1,a repeating pattern across the rota,a random crew relabel must flatten it,heat -> slab -> coil where the outcome is downstream,EXISTING,production volume shows a repeating pattern aligned to the crew rota
REGIME,Shift changeover shows a short throughput dip,"Meltshop, Caster",MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C05,C01,P1,a small reproducible dip at handover,mid-shift must be flat,heat -> slab -> coil where the outcome is downstream,NEW,mean cycle time in the 30 minutes after a changeover exceeds the shift mean
REGIME,Downtime response time differs by shift,Downtime,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C14,C16,P3,one shift restores faster,a random shift relabel must flatten it,heat -> slab -> coil where the outcome is downstream,ENRICH,mean stopped_minutes per event differs across shifts
REGIME,First heat after maintenance: raised power-on time,Meltshop,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C17,C05,P3,"sharply raised, then decaying",steady-campaign heats must be flat,heat -> slab -> coil where the outcome is downstream,NEW,power_on_min for heat 1 after a maintenance event exceeds the steady-campaign mean by at least 15 percent
REGIME,First heat after maintenance: raised energy per tonne,Meltshop,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C17,C19,P3,"raised, decaying across three to five heats",steady-campaign heats must be flat,heat -> slab -> coil where the outcome is downstream,NEW,electricity_mwh per tonne decays monotonically across heats 1 to 5 after a maintenance event
REGIME,First heat after maintenance: raised temperature variance,Meltshop,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C17,C20,P3,variance raised then recovering,steady-campaign heats must be flat,heat -> slab -> coil where the outcome is downstream,NEW,tap temperature variance in heats 1 to 3 after maintenance exceeds the steady-campaign variance
REGIME,EAF warm-up recovery shape,Meltshop,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C17,C18,P3,one of four distinct recovery shapes,-,heat -> slab -> coil where the outcome is downstream,NEW,the EAF warm-up recovery curve differs in shape from the ladle reline curve
REGIME,Ladle refractory campaign reset shape,Meltshop,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C17,C18,P3,a different shape from the EAF warm-up,-,heat -> slab -> coil where the outcome is downstream,NEW,the ladle reline recovery decays over a different number of heats than the EAF warm-up
REGIME,HSM roll change improves surface quality initially,"HSM, Parsytec",MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C18,C07,P3,quality better immediately after a roll change,-,heat -> slab -> coil where the outcome is downstream,NEW,defect rate in the first 200 coils after a roll change is below the campaign mean
REGIME,Ageing roll campaign raises roll-mark and wavy-edge rates,"HSM, Parsytec",MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C18,C26,P3,"gradual degradation, not a step",a fresh campaign must be flat,heat -> slab -> coil where the outcome is downstream,EXISTING,ROLL_MARK and WAVY_EDGE rates rise monotonically across campaign-age quartiles
REGIME,Tundish age rises across a casting sequence,Caster,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C18,C19,P3,"monotonic within a sequence, resetting between",-,heat -> slab -> coil where the outcome is downstream,EXISTING,tundish_age_min rises monotonically within a sequence and resets at sequence start
REGIME,Refractory age effect on temperature loss grows across a campaign,Meltshop,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- no recorded figure in FLEET_RELATIONS.md,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",routine operating variation,C18,C19,P3,"gradual, not a step",-,heat -> slab -> coil where the outcome is downstream,ENRICH,temperature loss rises monotonically across refractory-age quartiles
TEMPORAL,Mid-month practice change shifts casting speed distribution,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,normal operating variation,C19,C20,P4,"a regime boundary, not drift",a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,NEW,a trend chart shows a step whose date matches a recorded maintenance or practice event
TEMPORAL,Roll change creates a visible regime boundary in defect rate,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,normal operating variation,C07,C18,P2,a step at a known date,a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,ENRICH,the defect-rate step date matches a roll change recorded in the downtime source
TEMPORAL,Weekly production rhythm - weekday against weekend,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,normal operating variation,C01,C02,P1,a repeating weekly shape,a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,EXISTING,weekend daily volume is below the weekday mean
TEMPORAL,Monthly throughput trend across the three-month window,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,normal operating variation,C01,C05,P1,"a slow trend, not noise",a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,EXISTING,weekly throughput shows a monotonic component across the window
TEMPORAL,Defect rate excursion lasting two to five days,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,normal operating variation,C07,C08,P2,"a bounded excursion, not a permanent shift",a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,ENRICH,at least one contiguous 2-5 day window has a defect rate above twice the baseline
TEMPORAL,Gradual gauge deviation drift within a campaign,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,normal operating variation,C18,C24,P3,"drift, then a reset at campaign change",a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,ENRICH,mean gauge deviation rises within a campaign and resets at the boundary
TEMPORAL,Seasonal ambient effect on cooling rate,multiple,MEASURE: SELECT count(*) FROM the window named in the assertion -- no recorded figure in FLEET_RELATIONS.md,the time axis and the variable named in the assertion,a pattern CHANGE rather than random noise,normal operating variation,C19,C23,P4,a slow low-amplitude component,a randomly time-shifted control must show no boundary,coil only unless the assertion names otherwise,NEW,cooling rate shows a low-amplitude trend across the window that is not a step
