widget_id,widget_kind,page,widget_name,chart_type,exists_today,decision,phenomenon_or_baseline,required_fields,required_relationship,rationale
C29,BLUEPRINT CHART,P5,Conditioned against unconditioned,paired result,NO,ADD WIDGET,Casting speed conditioned on grade; shift mean shrinks and variance survives,"effect_size_raw, effect_size_conditioned, conditioning_variable","heat -> slab -> coil -> defect, published","THE HONESTY MOMENT. Needs a real confounder, which R1 and the grade families provide"
C30,BLUEPRINT CHART,P5,Findings table,table,NO,ADD WIDGET,R1 to R17 with the controls failing,"method, n, effect_size, q_value, evidence_handle","heat -> slab -> coil -> defect, published","Must show n and q, not a bare correlation coefficient"
C31,BLUEPRINT CHART,P6,Readiness dimensions,status cards,NO,ADD WIDGET,Readiness improves as the window fills; engine state Blocked with a reason,"dimension_name, measured_value, threshold_value, state",none beyond canonical unit identity,A green tick with no number is the failure mode
C32,BLUEPRINT CHART,P6,Population by context,bar,NO,ADD WIDGET,Evidence population differs materially by cohort,"cohort_key, population_count",none beyond canonical unit identity,One total tells the customer nothing about where evidence exists
C33,BLUEPRINT CHART,P6,Risk or finding trend,line,YES as RI_TREND,KEEP,Risk score concentration by material type,"risk_score, observation_utc",none beyond canonical unit identity,"Already correct and honestly labelled as engine output, not prediction"
C34,BLUEPRINT CHART,P6,Drivers with provenance,ranked table,NO,ADD WIDGET,Ranked contributors carry resolvable provenance,"driver_name, effect_size, evidence_handle","heat -> slab -> coil -> defect, published",Every row must open its evidence
C35,BLUEPRINT CHART,P6,Comparable units,evidence table,NO,ADD WIDGET,Comparable units behind a finding are individually drillable,"material_unit_code, cohort_key, outcome_value","heat -> slab -> coil -> defect, published",Aggregates only is the failure mode
C36,BLUEPRINT CHART,P6,Engine state,status,PARTIAL as MI_SEV,REMOVE,Engine state reports Blocked with a named reason,"engine_state, blocking_dimension, measured_value, threshold_value",none beyond canonical unit identity,"MI_SEV is titled 'Predicted Severity Mix' and is a donut of defectCount by severity. NOTHING PREDICTED IT. Severity 1 under the no-fake-answer rule. RULING REQUIRED: remove, or retitle and rebuild as this chart"
PO_KPI_MAT,SEEDED WIDGET,PRODUCTION_OVERVIEW,Material Units,kpi,YES,KEEP,C01,materialCount,as the blueprint chart it maps to,A production KPI is a legitimate operational baseline
PO_KPI_OBS,SEEDED WIDGET,PRODUCTION_OVERVIEW,Process Observations,kpi,YES,KEEP,C19,observationCount,as the blueprint chart it maps to,Baseline volume indicator
PO_KPI_DEF,SEEDED WIDGET,PRODUCTION_OVERVIEW,Quality Events,kpi,YES,KEEP,C07,defectCount,as the blueprint chart it maps to,Baseline
PO_KPI_RATE,SEEDED WIDGET,PRODUCTION_OVERVIEW,Defect Rate,kpi,YES,KEEP,C07,defectRate,as the blueprint chart it maps to,Baseline
PO_TREND,SEEDED WIDGET,PRODUCTION_OVERVIEW,Production Volume Trend,line,YES,REBIND,C01,"production_timestamp, material_unit_id",as the blueprint chart it maps to,Rebind from generic day bucketing to the production timestamp
PO_MIX,SEEDED WIDGET,PRODUCTION_OVERVIEW,Material Mix,donut,YES,REBIND,C03,"grade, weight_t",as the blueprint chart it maps to,Material type is product grammar; GRADE is the customer's vocabulary and is what the story needs
PO_WEEK,SEEDED WIDGET,PRODUCTION_OVERVIEW,Weekly Throughput,area,YES,KEEP,C01,materialCount,as the blueprint chart it maps to,Correct as is
PO_TABLE,SEEDED WIDGET,PRODUCTION_OVERVIEW,Volume by Type,table,YES,REBIND,C06,"heat_code, slab_code, coil_code, grade, shift, weight_t",as the blueprint chart it maps to,Rebind to the genealogy row
QM_TREND,SEEDED WIDGET,QUALITY_MONITORING,Defect Rate Trend,line,YES,KEEP,C07,defectRate,as the blueprint chart it maps to,Correct as is
QM_BREAK,SEEDED WIDGET,QUALITY_MONITORING,Defect Breakdown,bar,YES,ENHANCE,C08,"defect_code, defect_count",as the blueprint chart it maps to,Add the cumulative line and the sort to make it a true Pareto
QM_SEV,SEEDED WIDGET,QUALITY_MONITORING,Severity Distribution,donut,YES,KEEP,C08,"severity, defectCount",as the blueprint chart it maps to,A legitimate baseline view of severity mix
QM_TABLE,SEEDED WIDGET,QUALITY_MONITORING,Defects by Type,table,YES,KEEP,C08,"defect_code, defect_count",as the blueprint chart it maps to,Baseline
EO_EQDEF,SEEDED WIDGET,EQUIPMENT_OPERATIONS,Quality Events by Equipment,bar,YES,NEEDS RELATIONSHIP SLICE,C10,"equipment, defect_count",as the blueprint chart it maps to,"Returns ONE ROW. Canonical equipment attribution, not a data shortage"
EO_OBS,SEEDED WIDGET,EQUIPMENT_OPERATIONS,Observation Throughput,line,YES,REBIND,C19,"parameter_code, observation_utc",as the blueprint chart it maps to,Historically empty. Rebind to a parameter that has observations
EO_TABLE,SEEDED WIDGET,EQUIPMENT_OPERATIONS,Materials by Equipment,table,YES,NEEDS RELATIONSHIP SLICE,C04,"equipment, material_unit_id",as the blueprint chart it maps to,Same equipment attribution defect as EO_EQDEF
EO_MONTH,SEEDED WIDGET,EQUIPMENT_OPERATIONS,Monthly Volume,bar,YES,REMOVE,C01,"month, materialCount",as the blueprint chart it maps to,Duplicates PO_WEEK and PO_TREND at a coarser grain. Three time-series of the same measure on two pages
CF_RATE,SEEDED WIDGET,CORRELATION_FINDINGS_BOARD,Defect Rate Trend,line,YES,REMOVE,C07,"day, defectRate",as the blueprint chart it maps to,A duplicate of QM_TREND on a page named Correlation Findings that contains no correlation
CF_TOP,SEEDED WIDGET,CORRELATION_FINDINGS_BOARD,Defect Landscape,bar,YES,REMOVE,C08,"defectType, defectCount",as the blueprint chart it maps to,"A duplicate of QM_BREAK. The page needs charts 25 to 30, not two copies of the quality page"
PA_KAVG,SEEDED WIDGET,PARAMETER_DEEP_ANALYSIS,Average Value,kpi,YES,KEEP,C19,avgParameterValue,as the blueprint chart it maps to,Baseline
PA_KOBS,SEEDED WIDGET,PARAMETER_DEEP_ANALYSIS,Observations,kpi,YES,KEEP,C32,observationCount,as the blueprint chart it maps to,Doubles as a population indicator
PA_TREND,SEEDED WIDGET,PARAMETER_DEEP_ANALYSIS,Parameter Trend,line,YES,KEEP,C19,avgParameterValue,as the blueprint chart it maps to,Correct as is
PA_BYP,SEEDED WIDGET,PARAMETER_DEEP_ANALYSIS,Observation Volume by Parameter,bar,YES,KEEP,C32,"parameterCode, observationCount",as the blueprint chart it maps to,A legitimate population baseline
PA_TABLE,SEEDED WIDGET,PARAMETER_DEEP_ANALYSIS,Parameters Overview,table,YES,ENHANCE,C24,"parameter_code, value, band_min, band_max",as the blueprint chart it maps to,Add the band and the conditional format
RI_KPI,SEEDED WIDGET,RISK_INTELLIGENCE,Average Risk Score,kpi,YES,KEEP,C33,riskScore,as the blueprint chart it maps to,Baseline
RI_TREND,SEEDED WIDGET,RISK_INTELLIGENCE,Risk Score Trend,line,YES,KEEP,C33,riskScore,as the blueprint chart it maps to,Correct as is
RI_EQUIP,SEEDED WIDGET,RISK_INTELLIGENCE,Risk by Equipment,bar,YES,NEEDS RELATIONSHIP SLICE,C04,"equipment, riskScore",as the blueprint chart it maps to,Effectively one value in the last audit. Same attribution defect
RI_TABLE,SEEDED WIDGET,RISK_INTELLIGENCE,Risk by Material Type,table,YES,KEEP,C33,"materialUnitType, riskScore",as the blueprint chart it maps to,Baseline; material type is product grammar and is legitimate here
MI_RATE,SEEDED WIDGET,MODEL_INSIGHTS,Model-Tracked Defect Rate,line,YES,REBIND,C33,"defectRate, engine_run_id",as the blueprint chart it maps to,"Retitle away from 'Model-Tracked' unless a model tracked it, and bind to the engine run"
MI_SEV,SEEDED WIDGET,MODEL_INSIGHTS,Predicted Severity Mix,donut,YES,REMOVE,C36,"engine_state, blocking_dimension, measured_value, threshold_value",as the blueprint chart it maps to,"NOTHING PREDICTED IT. Severity 1 under the no-fake-answer rule. RULING REQUIRED: remove, or retitle and rebuild as chart 36"
