phenomenon_id,phenomenon_class,phenomenon,source_systems,population,minimum_population,variables,intended_effect,expected_direction,expected_effect_band,conditioning_variable,expected_after_conditioning,noise,primary_chart,secondary_chart,dashboard,expected_analysis_result,negative_control,genealogy_requirement,status,assertion
PH-011,STRONG,R9c BLISTER from nitrogen,"Meltshop, Parsytec","5,670 coils (measured 03-Aug)",200,"n_ppm, defect_code",raised rate; NO RECORDED EFFECT SIZE,positive,1.5x to 4.0x,none,none,charge variation,C08,C09,P2,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. same family; separable from SLIVER by chemistry,SEAM,heat -> slab -> coil -> defect,NEW,PREDECLARED BEFORE GENERATION: MEASURE FIRST: BLISTER rate rises across nitrogen quartiles
PH-012,STRONG,R10a PINHOLE from superheat,"Caster, Parsytec","5,670 coils (measured 03-Aug)",200,"superheat_c, defect_code",raised rate; NO RECORDED EFFECT SIZE,positive,1.5x to 4.0x,none,none,tundish scatter,C28,C25,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. caster-origin, separable from HSM-origin defects by genealogy",SCRATCH,heat -> slab -> coil -> defect,NEW,PREDECLARED BEFORE GENERATION: MEASURE FIRST: PINHOLE rate rises across superheat quartiles
PH-013,STRONG,R10b OSCILLATION_MARK from casting speed,"Caster, Parsytec","5,670 coils (measured 03-Aug)",200,"casting_speed_m_min, defect_code",raised rate; NO RECORDED EFFECT SIZE,positive,1.5x to 4.0x,none,none,mould level variation,C27,C28,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. caster-origin, speed-linked",DENT,heat -> slab -> coil -> defect,NEW,PREDECLARED BEFORE GENERATION: MEASURE FIRST: OSCILLATION_MARK rate rises across casting-speed quartiles
PH-014,STRONG,R11a GAUGE_DEV from slippage events,HSM,"5,670 coils (measured 03-Aug)",200,"slippage_flag, gauge_target_mm, gauge_actual_mm",raised deviation; NO RECORDED EFFECT SIZE,positive,1.5x to 4.0x,none,none,mill scatter,C23,C24,P4,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. deviation magnitude rises where slippage occurred,a random coil subset must not,coil only,NEW,PREDECLARED BEFORE GENERATION: MEASURE FIRST: mean absolute gauge deviation is higher on slippage coils than on the rest
PH-015,STRONG,R11b WIDTH_DEV from campaign wear,HSM,"5,670 coils (measured 03-Aug)",200,"roll_campaign_age, width_target_mm, width_actual_mm",raised deviation; NO RECORDED EFFECT SIZE,positive,1.5x to 4.0x,none,none,mill scatter,C18,C24,P3,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. deviation grows with campaign age,a random coil subset must not,coil only,NEW,PREDECLARED BEFORE GENERATION: MEASURE FIRST: mean absolute width deviation rises across campaign-age quartiles
PH-016,STRONG,"R12 oxygen_ppm from scrap ratio, meltshop-internal",Meltshop,630 heats (measured),200,"scrap_ratio, oxygen_ppm",positive association; NO RECORDED EFFECT SIZE,positive,1.5x to 4.0x,none,none,tap-to-tap variation,C23,C25,P4,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. meltshop-internal relation with no downstream outcome - a legitimate baseline, not a defect driver",a random heat subset must not,heat only,NEW,PREDECLARED BEFORE GENERATION: MEASURE FIRST: oxygen_ppm correlates positively with scrap_ratio across heats
PH-017,STRONG,"R13 electricity_mwh from scrap ratio, cold furnace and bucket count",Meltshop,630 heats (measured),200,"scrap_ratio, furnace_state, bucket_count, electricity_mwh",positive; NO RECORDED EFFECT SIZE,positive,1.5x to 4.0x,none,none,tap-to-tap variation,C19,C21,P4,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. energy per tonne is explainable by three named inputs,a random heat subset must not,heat only,NEW,PREDECLARED BEFORE GENERATION: MEASURE FIRST: electricity_mwh rises with bucket_count and is higher on cold-furnace heats
PH-018,STRONG,"R14 power_on_min from buckets, scrap ratio and furnace state",Meltshop,630 heats (measured),200,"bucket_count, scrap_ratio, furnace_state, power_on_min",positive; NO RECORDED EFFECT SIZE,positive,1.5x to 4.0x,none,none,tap-to-tap variation,C05,C19,P1,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. cycle time is explainable, which is what makes chart 5 non-flat",a random heat subset must not,heat only,NEW,PREDECLARED BEFORE GENERATION: MEASURE FIRST: power_on_min is higher on cold-furnace heats than on hot heats
PH-019,STRONG,"R15 caster breakout from superheat and scrap ratio, giving a 4-6 h production stoppage","Caster, Downtime","210 downtime events, 9 units, 5 reasons (measured)",200,"superheat_c, scrap_ratio, downtime_minutes, downtime_reason",rare event with a large production cost,positive,240 minutes to 360 minutes,none,none,event rarity,C16,C15,P3,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. a small number of long stoppages dominate the Pareto,routine changeovers must not correlate with superheat,heat only,NEW,PREDECLARED BEFORE GENERATION: at least one breakout event exists with production_impact_minutes inside expected_effect_band
PH-020,STRONG,"R16 HSM cobble downtime from slippage, transfer buffer absorbing the first 45 minutes","HSM, Downtime","210 downtime events, 9 units, 5 reasons (measured)",200,"slippage_flag, stopped_minutes, production_impact_minutes",equipment stoppage exceeds production impact by up to 45 minutes,positive,1 minutes to 45 minutes,none,none,buffer state variation,C15,C13,P3,the paired-column chart shows two materially different bars - the single most distinctive chart in the set,a planned changeover must show stopped equal to impact,coil only,ENRICH,PREDECLARED BEFORE GENERATION: at least one cobble row has stopped_minutes minus production_impact_minutes inside expected_effect_band
PH-021,STRONG,R17a PKL line speed inverse to gauge,PKL,"5,670 pickled coils (measured)",200,"gauge_mm, line_speed_m_min",negative association; NO RECORDED EFFECT SIZE,positive,1.5x to 4.0x,none,none,line scatter,C23,C20,P4,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. a clean physical relation with no quality consequence - a legitimate baseline,a random coil subset must not,coil only,NEW,PREDECLARED BEFORE GENERATION: MEASURE FIRST: line_speed_m_min correlates negatively with gauge_mm
PH-022,STRONG,Ranked contributors each carry resolvable provenance,"Engine, Parsytec","5,670 coils (measured 03-Aug)",200,"driver_name, effect_size, q_value, evidence_handle",every ranked driver resolves to its population and its source rows,positive,1.5x to 4.0x,none,none,ranking instability at the tail,C34,C30,P6,"the ranking is by effect size with the q-value beside it, and every row opens its evidence",an unsourced driver must not appear in the ranking,heat -> slab -> coil -> defect,EXISTING,PREDECLARED BEFORE GENERATION: every row in the driver ranking carries a non-null evidence handle that resolves to source rows
PH-023,STRONG,R17b QA yield and UTS by grade family,QA,"17,010 QA results (measured)",200,"grade_family, yield_mpa, uts_mpa",grade-separable mechanical properties,positive,1.5x to 4.0x,none,none,lab repeatability,C21,C30,P4,"box plots separate by grade family, which is what makes chart 21 non-identical",a random grade split must not separate,heat -> slab -> coil,EXISTING,PREDECLARED BEFORE GENERATION: MEASURE FIRST: yield_mpa distributions differ across grade families by a Kruskal-Wallis test at p below 0.05
PH-024,MODERATE_CONDITIONAL,"Casting speed against defect rate, unconditioned","Caster, Parsytec","5,670 coils (measured 03-Aug)",200,"casting_speed_m_min, defect_rate",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C27,C29,P5,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. a clear aggregate association before conditioning,SCRATCH,heat -> slab -> coil -> defect,NEW,PREDECLARED BEFORE GENERATION: the unconditioned association is significant at q=0.05
PH-025,MODERATE_CONDITIONAL,"Casting speed against defect rate, conditioned on grade","Caster, Parsytec","5,670 coils (measured 03-Aug)",200,"casting_speed_m_min, grade, defect_rate",conditional or moderate association,positive,1.5x to 4.0x,grade,effect shrinks by at least 30 percent but does not vanish,cohort-level variation,C29,C26,P5,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. the effect shrinks materially once grade is conditioned on - THE honesty moment,SCRATCH,heat -> slab -> coil -> defect,NEW,PREDECLARED BEFORE GENERATION: the conditioned effect size is at least 30 percent smaller than the unconditioned one and both are recorded
PH-026,MODERATE_CONDITIONAL,Best casting speed band differs by grade,"Caster, Parsytec","5,670 coils (measured 03-Aug)",200,"grade, casting_speed_m_min, defect_rate",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C28,C21,P5,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. no universal best speed - the band moves with grade,a single-grade cohort must show one band,heat -> slab -> coil -> defect,NEW,PREDECLARED BEFORE GENERATION: the minimum-defect speed band for at least two grades differs by more than the band width
PH-027,MODERATE_CONDITIONAL,Finishing temperature optimum shifts with gauge,"HSM, Parsytec","5,670 coils (measured 03-Aug)",200,"finishing_temp_c, gauge_mm, defect_rate",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C28,C23,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. an interaction surface, not a gradient",a fixed-gauge cohort must show one optimum,coil only,NEW,PREDECLARED BEFORE GENERATION: the minimum-defect finishing temperature differs across gauge terciles
PH-028,MODERATE_CONDITIONAL,Superheat effect depends on casting speed,"Caster, Parsytec","5,670 coils (measured 03-Aug)",200,"superheat_c, casting_speed_m_min, defect_rate",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C28,C27,P5,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. the hot region in the heatmap is a corner, not a band",low-speed cohort must be flat in superheat,heat -> slab -> coil -> defect,NEW,PREDECLARED BEFORE GENERATION: the defect rate in the high-superheat high-speed cell exceeds each marginal by more than 50 percent
PH-029,MODERATE_CONDITIONAL,Grade sensitivity to defect family,"Meltshop, Parsytec","5,670 coils (measured 03-Aug)",200,"grade, defect_code",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C09,C08,P2,some grades materially more sensitive - chart 9 must not be even,a random grade relabel must flatten it,heat -> slab -> coil -> defect,EXISTING,PREDECLARED BEFORE GENERATION: the top grade defect rate is at least twice the bottom grade rate
PH-030,MODERATE_CONDITIONAL,Equipment effect on defect rate after grade conditioning,"HSM, Parsytec","5,670 coils (measured 03-Aug)",200,"equipment, grade, defect_rate",conditional or moderate association,positive,1.5x to 4.0x,grade,effect shrinks by at least 30 percent but does not vanish,cohort-level variation,C10,C29,P2,a unit-level truth that survives conditioning,a random equipment relabel must flatten it,coil only,ENRICH,PREDECLARED BEFORE GENERATION: the equipment effect remains significant after conditioning on grade
PH-031,MODERATE_CONDITIONAL,Thickness band changes the optimum operating window,"Caster, HSM","5,670 coils (measured 03-Aug)",200,"gauge_mm, casting_speed_m_min, defect_rate",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C28,C21,P5,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. context changes the answer,a fixed-gauge cohort must show one window,coil only,NEW,PREDECLARED BEFORE GENERATION: the optimum window differs across at least two gauge bands
PH-032,MODERATE_CONDITIONAL,Tundish age effect concentrated in the first and last heats of a sequence,"Caster, Parsytec","5,670 coils (measured 03-Aug)",200,"tundish_age_min, sequence_position, defect_rate",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C19,C25,P4,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. position within a sequence matters,mid-sequence heats must be flat,heat -> slab -> coil -> defect,NEW,PREDECLARED BEFORE GENERATION: defect rate in the first and last sequence positions exceeds the mid-sequence rate
PH-033,MODERATE_CONDITIONAL,Ladle reline age against temperature loss,Meltshop,630 heats (measured),200,"ladle_reline_count, lf_arrival_temp_c, lf_departure_temp_c",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C19,C18,P4,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. refractory age shows as heat loss,a random ladle relabel must flatten it,heat only,NEW,PREDECLARED BEFORE GENERATION: temperature loss rises across ladle_reline_count quartiles
PH-034,MODERATE_CONDITIONAL,Charge mix affects tap temperature spread,Meltshop,630 heats (measured),200,"scrap_ratio, dri_ratio, tap_temp_c",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C20,C21,P4,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. distribution width, not just mean",a random charge relabel must flatten it,heat only,NEW,PREDECLARED BEFORE GENERATION: tap temperature variance differs across scrap-ratio terciles
PH-035,MODERATE_CONDITIONAL,Alloy addition accuracy by grade,Meltshop,630 heats (measured),200,"grade, alloy_addition_kg, target_chemistry_deviation",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C12,C21,P2,some grades are harder to hit than others,a random grade relabel must flatten it,heat only,ENRICH,PREDECLARED BEFORE GENERATION: mean absolute chemistry deviation differs across grades
PH-036,MODERATE_CONDITIONAL,Chemistry conformance rate by grade,Meltshop,630 heats (measured),200,"grade, element_actual, grade_min, grade_max",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C12,C09,P2,the conditional-format table has something to show,a grade with no spec must render neutral,heat only,NEW,PREDECLARED BEFORE GENERATION: at least one heat falls outside its grade band and at least one sits inside
PH-037,MODERATE_CONDITIONAL,Sequence length affects slab quality spread,Caster,"5,670 slabs (measured)",200,"sequence_length, slab_defect_rate",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C06,C09,P1,longer sequences drift,short sequences must not drift,heat -> slab -> coil,ENRICH,PREDECLARED BEFORE GENERATION: slab defect rate rises with position in long sequences but not in short ones
PH-038,MODERATE_CONDITIONAL,Coil position within a slab affects surface defect density,"HSM, Parsytec","5,670 coils (measured 03-Aug)",200,"position_m, defect_count",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C11,C08,P2,head and tail carry more defects than the body,the body must be flat,coil only,ENRICH,PREDECLARED BEFORE GENERATION: defect density in the first and last 10 percent of coil length exceeds the middle 80 percent
PH-039,MODERATE_CONDITIONAL,Transverse defect position clusters at the edges,Parsytec,"1,987 defects, SIX codes (measured)",200,"width_position_mm, defect_code",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C11,C09,P2,edge clustering visible in the position heatmap,a uniform-random control must not cluster,coil only,EXISTING,PREDECLARED BEFORE GENERATION: defect density in the outer 15 percent of strip width exceeds the centre
PH-040,MODERATE_CONDITIONAL,QA pass rate by grade family and gauge,QA,"17,010 QA results (measured)",200,"grade_family, gauge_mm, qa_result",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C21,C30,P4,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. two-factor structure in the QA outcome,a random relabel must flatten it,heat -> slab -> coil,NEW,PREDECLARED BEFORE GENERATION: QA pass rate differs across the grade-by-gauge cells
PH-041,MODERATE_CONDITIONAL,Pickling defects concentrate on high-scale coils,"PKL, Parsytec","5,670 pickled coils (measured)",200,"scale_index, pkl_defect_flag",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C10,C08,P2,a downstream consequence of an upstream condition,a random coil subset must not,coil only,ENRICH,PREDECLARED BEFORE GENERATION: PKL defect rate is higher on high-scale coils
PH-042,MODERATE_CONDITIONAL,Yard dwell time rises for blocked grades,Yard,UNVERIFIED - no yard table found in the staged schemas,200,"grade, dwell_hours, location",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C04,C06,P1,logistics reflects quality holds,released coils must not show it,coil only,ENRICH,PREDECLARED BEFORE GENERATION: mean dwell hours is higher for coils with an open quality hold
PH-043,MODERATE_CONDITIONAL,Downtime reason mix differs by equipment,Downtime,"210 downtime events, 9 units, 5 reasons (measured)",200,"equipment, downtime_reason, stopped_minutes",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C16,C13,P3,each unit has a characteristic failure profile,a random equipment relabel must flatten it,coil only,EXISTING,PREDECLARED BEFORE GENERATION: the reason distribution differs across equipment by a chi-square test at p below 0.05
PH-044,MODERATE_CONDITIONAL,Production impact per stoppage minute differs by equipment position,Downtime,"210 downtime events, 9 units, 5 reasons (measured)",200,"equipment, stopped_minutes, production_impact_minutes",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C15,C16,P3,upstream stoppages cost more than buffered ones,a fully buffered unit must show near-zero impact,coil only,ENRICH,PREDECLARED BEFORE GENERATION: the impact-to-stopped ratio differs across equipment
PH-045,MODERATE_CONDITIONAL,Risk score concentration by material type,Engine,"5,670 coils (measured 03-Aug)",200,"material_unit_type, risk_score",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C33,C34,P6,risk is not uniform across the population,a random type relabel must flatten it,coil only,EXISTING,PREDECLARED BEFORE GENERATION: mean risk score differs across material unit types
PH-046,MODERATE_CONDITIONAL,Downtime concentrates on a clear loss leader,Downtime,"210 downtime events, 9 units, 5 reasons (measured)",200,"equipment, stopped_minutes",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C13,C16,P3,one or two units dominate the Pareto - chart 13 must not be even,a random equipment relabel must flatten it,coil only,EXISTING,PREDECLARED BEFORE GENERATION: the top equipment accounts for at least 30 percent of total stopped minutes
PH-047,MODERATE_CONDITIONAL,Evidence population differs materially by cohort,Engine,"5,670 coils (measured 03-Aug)",200,"grade, gauge_band, population_count",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C32,C31,P6,some cohorts carry enough evidence and some do not - which is what the readiness gate acts on,a uniform-random cohort split must not differ,coil only,EXISTING,PREDECLARED BEFORE GENERATION: at least one cohort falls below the readiness population threshold and at least one is above it
PH-048,MODERATE_CONDITIONAL,Engine state reports Blocked with a named reason on at least one dimension,Engine,"5,670 coils (measured 03-Aug)",200,"readiness_dimension, measured_value, threshold",conditional or moderate association,positive,1.5x to 4.0x,none,none,cohort-level variation,C36,C31,P6,"an honest refusal with the measured value beside its threshold - a legitimate operational baseline, not a defect driver",no dimension may report Ready without a number,coil only,EXISTING,"PREDECLARED BEFORE GENERATION: every readiness dimension renders a measured value and its threshold, and no widget claims a prediction the engine did not make"
PH-049,REGIME,Day shift runs conservatively: lower parameter variance,"Meltshop, Caster",MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,grade,mean difference shrinks by at least 40 percent; VARIANCE difference survives,routine operating variation,C22,C19,P4,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. variance lower than evening and night,a random shift relabel must flatten it,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: casting speed variance on day shift is lower than on night shift by at least 20 percent
PH-050,REGIME,Night shift carries wider parameter variance,Caster,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,grade,mean difference shrinks by at least 40 percent; VARIANCE difference survives,routine operating variation,C22,C23,P4,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. variance higher, means overlapping",a random shift relabel must flatten it,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: the shift means overlap within one standard deviation while the variances differ
PH-051,REGIME,Night shift shows a higher apparent defect rate,Parsytec,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,grade,mean difference shrinks by at least 40 percent; VARIANCE difference survives,routine operating variation,C02,C09,P1,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. a visible naive difference,a random shift relabel must flatten it,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: the unconditioned night defect rate exceeds day by at least 15 percent
PH-052,REGIME,Night shift ran a harder grade family - the confounder,Meltshop,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,grade,mean difference shrinks by at least 40 percent; VARIANCE difference survives,routine operating variation,C03,C29,P1,"REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. grade mix differs by shift, which is the confounder",a balanced-grade cohort must show no difference,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: the grade mix differs across shifts by a chi-square test at p below 0.05
PH-053,REGIME,Conditioning on grade shrinks the shift mean difference,Parsytec,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,grade,mean difference shrinks by at least 40 percent; VARIANCE difference survives,routine operating variation,C29,C22,P5,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. the mean difference shrinks materially but does not vanish,-,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: the grade-conditioned shift mean difference is at least 40 percent smaller than the unconditioned one
PH-054,REGIME,Residual shift variance survives conditioning and drives defects,Parsytec,MEASURE: SELECT count(*) FROM the cohort named in the assertion -- not yet read; see inventory section 9,200,"shift, crew, campaign age, maintenance event, and the process variable named in the assertion","an operating personality, not a different mean",positive,1.5x to 4.0x,grade,mean difference shrinks by at least 40 percent; VARIANCE difference survives,routine operating variation,C22,C23,P4,REQUIRES FLEET v2 - the field or defect code does not exist in the measured staged data. variance difference survives and correlates with defect probability,-,heat -> slab -> coil where the outcome is downstream,NEW,PREDECLARED BEFORE GENERATION: after conditioning on grade the shift variance difference remains and correlates with defect rate
