"RelativePath","LineNumber","Evidence"
"Backend\PlantProcess.Api\Endpoints\Phase45\Phase45ClosureEndpoints.cs","488","""('F-HEAT-CEV', 'Carbon equivalent', 'Heat', 'ADV_HEAT4002', 'meltshop-postgres', 0.42, NULL, 'Fresh', true),"","
"Backend\PlantProcess.Api\Endpoints\Phase45\Phase45ClosureEndpoints.cs","489","""('F-HEAT-TAP-TEMP', 'Tap temperature', 'Heat', 'ADV_HEAT4002', 'meltshop-postgres', 1662.0, NULL, 'Fresh', true),"","
"Backend\PlantProcess.Api\Endpoints\Phase45\Phase45ClosureEndpoints.cs","490","""('F-LADLE-RESIDENCE', 'Ladle residence time', 'Batch', 'ADV_LADLE4002', 'meltshop-postgres', 43.0, NULL, 'Fresh', true),"","
"Backend\PlantProcess.Api\Endpoints\Phase45\Phase45ClosureEndpoints.cs","491","""('F-STRAND-SPEED', 'Casting speed average', 'Strand', 'ADV_STRAND4002', 'caster-oracle', 1.18, NULL, 'Fresh', true),"","
"Backend\PlantProcess.Api\Endpoints\Phase45\Phase45ClosureEndpoints.cs","492","""('F-STRAND-SUPERHEAT', 'True superheat', 'Strand', 'ADV_STRAND4002', 'caster-oracle', 27.0, NULL, 'Fresh', true),"","
"Backend\PlantProcess.Api\Endpoints\Phase45\Phase45ClosureEndpoints.cs","493","""('F-COIL-FINISH-TEMP', 'Finishing temperature', 'Coil', 'ADV_COIL4002', 'hsm-oracle', 889.0, NULL, 'Fresh', true),"","
"Backend\PlantProcess.Api\Endpoints\Phase45\Phase45ClosureEndpoints.cs","494","""('F-COIL-COOLING-SLOPE', 'Cooling slope', 'Coil', 'ADV_COIL4002', 'hsm-oracle', -3.8, NULL, 'Fresh', true),"","
"Backend\PlantProcess.Api\Endpoints\Phase45\Phase45ClosureEndpoints.cs","496","""('F-MISSINGNESS', 'Missingness flag count', 'Coil', 'ADV_COIL4002', 'excel-qa', 0.0, 'No critical missing fields', 'Fresh', true)"","
"Backend\PlantProcess.Api\Endpoints\Phase45\Phase45ClosureEndpoints.cs","500","""('O-QUALITY-CLASS', 'Quality class label', 'Coil', 'ADV_COIL4002', NULL, 'SurfaceDefectRisk', 98.5, true),"","
"Backend\PlantProcess.Api\Endpoints\Phase45\Phase45ClosureEndpoints.cs","501","""('O-DEFECT-RATE', 'Defect rate per km', 'Coil', 'ADV_COIL4002', 3.7, NULL, 96.2, true),"","
"Backend\PlantProcess.Api\Endpoints\Phase45\Phase45ClosureEndpoints.cs","502","""('O-DEFECT-SEVERITY', 'Defect severity score', 'Coil', 'ADV_COIL4002', 0.82, NULL, 95.1, true),"","
"Backend\PlantProcess.Api\Endpoints\Phase45\Phase45ClosureEndpoints.cs","503","""('O-DEFECT-POSITION', 'Defect position band', 'Coil', 'ADV_COIL4002', NULL, 'Head-third', 94.8, true),"","
"Backend\PlantProcess.Api\Endpoints\Phase45\Phase45ClosureEndpoints.cs","532","""('R-002', 'P05-JOB-QUALITY-CORRELATION', 'F-COIL-COOLING-SLOPE', 'O-DEFECT-RATE', 'PEARSON', 0.54, 0.0020, 0.014, 0.39, 0.66, 420, 0.83, 2, 'Accepted'),"","
"Backend\PlantProcess.Api\Endpoints\Reporting\CustomerDemoReportEndpoints.cs","54","$""MeltShop heats: {summary.MeltShopHeatCount:N0}"","
"Backend\PlantProcess.Api\Endpoints\Reporting\CustomerDemoReportEndpoints.cs","55","$""Caster slabs: {summary.CasterPieceCount:N0}"","
"Backend\PlantProcess.Api\Endpoints\Reporting\CustomerDemoReportEndpoints.cs","56","$""HSM coils: {summary.HsmCoilCount:N0}"","
"Backend\PlantProcess.Api\Endpoints\Reporting\CustomerDemoReportEndpoints.cs","57","$""HSM pass measurements: {summary.HsmPassMeasurementCount:N0}"","
"Backend\PlantProcess.Api\PlantConnectors\V5ConnectorRuntimeCertificationEndpoints.cs","663","('HSM.F1.RollForce', 1200.0::numeric, 71),"
"Backend\PlantProcess.Api\PlantConnectors\V5ConnectorRuntimeCertificationEndpoints.cs","664","('HSM.F2.RollForce', 1180.0::numeric, 67),"
"Backend\PlantProcess.Api\PlantConnectors\V5ConnectorRuntimeCertificationEndpoints.cs","665","('HSM.Exit.Temperature', 872.0::numeric, 53),"
"Backend\PlantProcess.Api\PlantConnectors\V5ConnectorRuntimeCertificationEndpoints.cs","666","('Caster.Mould.Level', 72.0::numeric, 29)"
"Backend\PlantProcess.Api\PlantConnectors\V5PlantConnectorEndpoints.cs","272","""MILL.HSM.F1.ROLL_FORCE"","
"Backend\PlantProcess.Api\PlantConnectors\V5PlantConnectorEndpoints.cs","273","""MILL.HSM.F2.TEMP_EXIT"","
"Backend\PlantProcess.Api\PlantConnectors\V5PlantConnectorEndpoints.cs","282","? new[] { ""MILL.HSM.F1.ROLL_FORCE"" }"
"Backend\PlantProcess.Api\VisualMapper\V5VisualMapperEndpoints.cs","677","if (name.Contains(""coil"") || name.Contains(""material""))"
"Backend\PlantProcess.Api\VisualMapper\V5VisualMapperEndpoints.cs","678","return (""material_units"", ""material_code"", 0.920000m, ""Column name indicates a material / coil business identifier."");"
"Backend\PlantProcess.Api\VisualMapper\V5VisualMapperEndpoints.cs","680","if (name.Contains(""heat""))"
"Backend\PlantProcess.Api\VisualMapper\V5VisualMapperEndpoints.cs","681","return (""material_aliases"", ""alias_code"", 0.900000m, ""Column name indicates a heat identifier that should be retained as a source alias."");"
