"Category","Severity","RelativePath","LineNumber","Evidence","Recommendation"
"Hardcoded demo tenant","HIGH","Backend\database\scripts\600_v5_p11_outbound_notifications_leads.sql","181","SELECT set_config('app.current_tenant', '00000000-0000-0000-0000-000000000001', false);","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\600_v5_p11_outbound_notifications_leads.sql","193","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\600_v5_p11_outbound_notifications_leads.sql","200","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\600_v5_p11_outbound_notifications_leads.sql","218","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\600_v5_p11_outbound_notifications_leads.sql","225","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\620_v5_p13_deployment_dr_portability.sql","120","SELECT set_config('app.current_tenant', '00000000-0000-0000-0000-000000000001', false);","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\620_v5_p13_deployment_dr_portability.sql","136","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\620_v5_p13_deployment_dr_portability.sql","169","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\620_v5_p13_deployment_dr_portability.sql","196","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\620_v5_p13_deployment_dr_portability.sql","219","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\630_v5_p14_compliance_refactor_controls.sql","136","SELECT set_config('app.current_tenant', '00000000-0000-0000-0000-000000000001', false);","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\630_v5_p14_compliance_refactor_controls.sql","148","('00000000-0000-0000-0000-000000000001', 'lead_captures', 1095, 'anonymize', true, false),","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\630_v5_p14_compliance_refactor_controls.sql","149","('00000000-0000-0000-0000-000000000001', 'notification_deliveries', 365, 'archive', true, false),","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\630_v5_p14_compliance_refactor_controls.sql","150","('00000000-0000-0000-0000-000000000001', 'audit_events', 2555, 'archive', true, true)","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\660_remaining_p09_sso_scim_runtime_certification.sql","98","SELECT set_config('app.current_tenant', '00000000-0000-0000-0000-000000000001', false);","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\660_remaining_p09_sso_scim_runtime_certification.sql","116","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\660_remaining_p09_sso_scim_runtime_certification.sql","162","WHERE p.tenant_id = '00000000-0000-0000-0000-000000000001'","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\660_remaining_p09_sso_scim_runtime_certification.sql","192","WHERE p.tenant_id = '00000000-0000-0000-0000-000000000001'","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\670_pack_b4_connector_runtime_certification.sql","123","SELECT set_config('app.current_tenant', '00000000-0000-0000-0000-000000000001', false);","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\670_pack_b4_connector_runtime_certification.sql","142","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\670_pack_b4_connector_runtime_certification.sql","172","WHERE tenant_id = '00000000-0000-0000-0000-000000000001'","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\670_pack_b4_connector_runtime_certification.sql","228","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\680_pack_b5_private_model_gateway_ciso_controls.sql","144","SELECT set_config('app.current_tenant', '00000000-0000-0000-0000-000000000001', false);","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\680_pack_b5_private_model_gateway_ciso_controls.sql","167","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\680_pack_b5_private_model_gateway_ciso_controls.sql","214","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\680_pack_b5_private_model_gateway_ciso_controls.sql","224","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\database\scripts\680_pack_b5_private_model_gateway_ciso_controls.sql","234","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","479","""00000000-0000-0000-0000-000000000001"";","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","483",": Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","542",": Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","603",": Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","38","private static readonly Guid DefaultTenantId = Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\BlendedProvenance\V5BlendedProvenanceEndpoints.cs","125","""00000000-0000-0000-0000-000000000001"";","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\BlendedProvenance\V5BlendedProvenanceEndpoints.cs","129",": Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\ComplianceControls\V5ComplianceControlsEndpoints.cs","33","private static readonly Guid DefaultTenantId = Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\DeploymentPortability\V5DeploymentPortabilityEndpoints.cs","27","private static readonly Guid DefaultTenantId = Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\EnterpriseIdentity\V5EnterpriseIdentityEndpoints.cs","16","private static readonly Guid DefaultTenantId = Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\EnterpriseSsoScim\V5EnterpriseSsoScimEndpoints.cs","45","private static readonly Guid DefaultTenantId = Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\EnterpriseSsoScim\V5IdentityRuntimeCertificationEndpoints.cs","27","private static readonly Guid DefaultTenantId = Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\OutboundLeadSystem\V5OutboundLeadSystemEndpoints.cs","53","private static readonly Guid DefaultTenantId = Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\PlantConnectors\V5ConnectorRuntimeCertificationEndpoints.cs","35","private static readonly Guid DefaultTenantId = Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\PlantConnectors\V5PlantConnectorEndpoints.cs","30","private static readonly Guid DefaultTenantId = Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\Security\AuthEndpoints.cs","239","TenantId: Guid.Parse(""00000000-0000-0000-0000-000000000001""),","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\Security\AuthStore.cs","173","'00000000-0000-0000-0000-000000000001',","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\Security\P01P02SecuritySchema.cs","26","VALUES ('00000000-0000-0000-0000-000000000001', 'default-demo', 'Default Demo Tenant', 'Demo', true)","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\Security\P01P02SecuritySchema.cs","169","SET tenant_id = '00000000-0000-0000-0000-000000000001'","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\SignedLicensing\V5Ed25519LicenseEndpoints.cs","27","private static readonly Guid DefaultTenantId = Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\SignedLicensing\V5SignedLicensingEndpoints.cs","33","private static readonly Guid DefaultTenantId = Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\SignedLicensing\VerifiedEd25519LicenseService.cs","12","private static readonly Guid DefaultTenantId = Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\Swagger\SwaggerExamplesOperationFilter.cs","135","""sourceSystemDefinitionId"": ""00000000-0000-0000-0000-000000000001"",","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\Swagger\SwaggerExamplesOperationFilter.cs","147","""sourceSystemDefinitionId"": ""00000000-0000-0000-0000-000000000001"",","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Api\VisualMapper\V5VisualMapperEndpoints.cs","51","private static readonly Guid DefaultTenantId = Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\PlantProcess.Application\Analytics\Advanced\AdvancedReadiness.cs","12","public static readonly Guid DemoTenant = Guid.Parse(""00000000-0000-0000-0000-000000000001"");","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Backend\tests\PlantProcess.Application.UnitTests\Security\SafeSqlPolicyTests.cs","157","[InlineData(""SELECT * FROM material_units WHERE site_id = '00000000-0000-0000-0000-000000000001'"")]","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Hardcoded demo tenant","HIGH","Frontend\PlantProcess.Web\src\pages\Admin\AdminDbConfigurationTab.implementation.tsx","510","sourceSystemDefinitionId: ""00000000-0000-0000-0000-000000000001"", // placeholder","Replace hardcoded tenant GUID with claim/config/request tenant resolution."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Analytics\KpiEvaluationService.cs","27","await using (var cmd = _ds.CreateCommand(","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Analytics\KpiEvaluationService.cs","45","await using (var cmd = _ds.CreateCommand(","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Analytics\KpiEvaluationService.cs","67","await using var cmd = _ds.CreateCommand(sql);","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Analytics\KpiEvaluationService.cs","79","await using (var cmd = _ds.CreateCommand(","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Analytics\KpiEvaluationService.cs","103","await using var cmd = _ds.CreateCommand(","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","326","await using var tenantCmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","331","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","406","await using var tenantCmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","411","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","545","await using var tenantCmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","550","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","606","await using var tenantCmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5AssistantGateway.cs","611","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","132","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","194","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","297","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","377","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","544","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","628","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","662","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\AssistantGateway\V5PrivateModelGatewayCertificationEndpoints.cs","755","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\BlendedProvenance\V5BlendedProvenanceEndpoints.cs","34","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\BlendedProvenance\V5BlendedProvenanceEndpoints.cs","83","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\BlendedProvenance\V5BlendedProvenanceEndpoints.cs","137","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\ComplianceControls\V5ComplianceControlsEndpoints.cs","96","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\ComplianceControls\V5ComplianceControlsEndpoints.cs","162","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\ComplianceControls\V5ComplianceControlsEndpoints.cs","243","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\ComplianceControls\V5ComplianceControlsEndpoints.cs","305","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\ComplianceControls\V5ComplianceControlsEndpoints.cs","377","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\ComplianceControls\V5ComplianceControlsEndpoints.cs","437","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\ComplianceControls\V5ComplianceControlsEndpoints.cs","482","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\DeploymentPortability\V5DeploymentPortabilityEndpoints.cs","56","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\DeploymentPortability\V5DeploymentPortabilityEndpoints.cs","112","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\DeploymentPortability\V5DeploymentPortabilityEndpoints.cs","184","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\DeploymentPortability\V5DeploymentPortabilityEndpoints.cs","267","await using var cmd = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Endpoints\Admin\GenericSchemaMappingEndpoints.cs","909","await using var command = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Endpoints\Admin\GenericSchemaMappingEndpoints.cs","954","await using var command = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Endpoints\Admin\GenericSchemaMappingEndpoints.cs","986","await using var command = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Endpoints\Admin\GenericSchemaMappingEndpoints.cs","1207","await using var command = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Endpoints\Admin\GenericSchemaMappingEndpoints.cs","1245","await using var command = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Endpoints\Admin\LicenseAdminEndpoints.cs","338","await using var command = dbContext.Database.GetDbConnection().CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Endpoints\Admin\P03P04CompletionProofEndpoints.cs","104","await using var command = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Endpoints\Admin\Phase1WorkflowTruthEndpoints.cs","533","await using var command = new NpgsqlCommand(sql, connection)","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Endpoints\Admin\Phase2OperationEndpoints.cs","173","await using var command = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Endpoints\Admin\Phase2OperationEndpoints.cs","405","await using var command = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Endpoints\Admin\Phase2OperationEndpoints.cs","450","await using var command = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Endpoints\Admin\Phase2OperationEndpoints.cs","584","await using var command = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Endpoints\Admin\Phase2PilotReadinessEndpoints.cs","57","await using var command = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Endpoints\Admin\Phase2PilotReadinessEndpoints.cs","124","await using var command = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
"Raw SQL access inside API","HIGH","Backend\PlantProcess.Api\Endpoints\Admin\Phase2PilotReadinessEndpoints.cs","215","await using var command = connection.CreateCommand();","Move direct DB access behind Infrastructure/Application services or explicitly quarantine with validation."
