Route,Source file,Severity,Why it matters,Expected auth behaviour,Owner decision
/api/analytics/read-models/staleness,Endpoints/Analytics/ReadModelEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/api/analytics/simple/datasets,Endpoints/Analytics/SimpleAnalysisEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/api/analytics/simple/primitives,Endpoints/Analytics/SimpleAnalysisEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/api/kpis/{kpiCode}/alerts,Endpoints/Analytics/KpiEvaluationEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/api/kpis/{kpiCode}/target,Endpoints/Analytics/KpiEvaluationEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/api/ml/providers/narrative/proof,Endpoints/Analytics/MlProviderEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/p09/access/check/{capability},Endpoints/Security/Phase9RoleAccessEndpoints.cs,CRITICAL,"Identity, sessions, role mappings or the access model itself",Deny by default; declare required permission,
/api/p09/access/effective,Endpoints/Security/Phase9RoleAccessEndpoints.cs,CRITICAL,"Identity, sessions, role mappings or the access model itself",Deny by default; declare required permission,
/api/p09/access/enforce/{capability},Endpoints/Security/Phase9RoleAccessEndpoints.cs,CRITICAL,"Identity, sessions, role mappings or the access model itself",Deny by default; declare required permission,
/api/p09/access/matrix,Endpoints/Security/Phase9RoleAccessEndpoints.cs,CRITICAL,"Identity, sessions, role mappings or the access model itself",Deny by default; declare required permission,
/api/p09/executive/dashboard,Endpoints/Security/Phase9RoleAccessEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/p15/advisory/recommendations/approvals,PlantConnectors/P15AdvisoryRecommendationEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/p15/advisory/recommendations/contract,PlantConnectors/P15AdvisoryRecommendationEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/p15/advisory/recommendations/demo-request,PlantConnectors/P15AdvisoryRecommendationEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/p15/advisory/recommendations/health,PlantConnectors/P15AdvisoryRecommendationEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/p15/advisory/scenarios/contract,PlantConnectors/P15AdvisoryScenarioEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/p15/advisory/scenarios/health,PlantConnectors/P15AdvisoryScenarioEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/p15/advisory/scenarios/sample-request,PlantConnectors/P15AdvisoryScenarioEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/p15/benchmarking/contract,PlantConnectors/P15BenchmarkingEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/p15/benchmarking/demo-request,PlantConnectors/P15BenchmarkingEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/p15/benchmarking/health,PlantConnectors/P15BenchmarkingEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/p15/benchmarking/summary,PlantConnectors/P15BenchmarkingEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/p15/benchmarking/suppressed-demo,PlantConnectors/P15BenchmarkingEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/p15/honesty-certification/contract,PlantConnectors/P15HonestyCertificationEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/p15/honesty-certification/health,PlantConnectors/P15HonestyCertificationEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/p15/honesty-certification/run,PlantConnectors/P15HonestyCertificationEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/p15/roi-cfo-dashboard/contract,PlantConnectors/P15RoiCfoDashboardEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/p15/roi-cfo-dashboard/evidence-pack,PlantConnectors/P15RoiCfoDashboardEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/p15/roi-cfo-dashboard/health,PlantConnectors/P15RoiCfoDashboardEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/p15/roi-cfo-dashboard/summary,PlantConnectors/P15RoiCfoDashboardEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/p15/value-realization/contract,PlantConnectors/P15ValueRealizationEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/p15/value-realization/demo-request,PlantConnectors/P15ValueRealizationEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/p15/value-realization/health,PlantConnectors/P15ValueRealizationEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/p15/value-realization/ledger,PlantConnectors/P15ValueRealizationEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/pages/{slug},Endpoints/DynamicContent/DynamicContentEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/phase8/assistant-config,Endpoints/Assistant/Phase8AssistantRuntimeEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/api/phase8/suggestions/health,Endpoints/Assistant/Phase8AssistantRuntimeEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/api/phase8/suggestions/outcomes,Endpoints/Assistant/Phase8SuggestionOutcomeLoopEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/api/phase8/suggestions/outcomes/value-loop,Endpoints/Assistant/Phase8SuggestionOutcomeLoopEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/api/v5/ai/private-model-gateway/eval/latest,AssistantGateway/V5PrivateModelGatewayCertificationEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/v5/ai/private-model-gateway/health,AssistantGateway/V5PrivateModelGatewayCertificationEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/v5/ai/private-model-gateway/policies/truth-state,AssistantGateway/V5PrivateModelGatewayCertificationEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/v5/assistant-gateway/audit,AssistantGateway/V5AssistantGateway.cs,CRITICAL,Audit records,Deny by default; declare required permission,
/api/v5/assistant-gateway/health,AssistantGateway/V5AssistantGateway.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/v5/blended-provenance/child/{childMaterialUnitId:guid}/attribution,BlendedProvenance/V5BlendedProvenanceEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/api/v5/blended-provenance/health,BlendedProvenance/V5BlendedProvenanceEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/api/v5/blended-provenance/weights/status,BlendedProvenance/V5BlendedProvenanceEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/api/v5/compliance/audit/events,ComplianceControls/V5ComplianceControlsEndpoints.cs,CRITICAL,Audit records,Deny by default; declare required permission,
/api/v5/compliance/controls/evidence,ComplianceControls/V5ComplianceControlsEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/v5/compliance/health,ComplianceControls/V5ComplianceControlsEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/v5/connectors/runtime-certification/health,PlantConnectors/V5ConnectorRuntimeCertificationEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/v5/connectors/runtime-certification/truth-state/{providerCode?},PlantConnectors/V5ConnectorRuntimeCertificationEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/v5/deployment/airgap/bundles,DeploymentPortability/V5DeploymentPortabilityEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/v5/deployment/health,DeploymentPortability/V5DeploymentPortabilityEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/v5/edge-collector/contract,PlantConnectors/V5OtSafeEdgeCollectorEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/v5/edge-collector/health,PlantConnectors/V5OtSafeEdgeCollectorEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/v5/edge-collector/profiles,PlantConnectors/V5OtSafeEdgeCollectorEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/v5/edge-collector/status,PlantConnectors/V5OtSafeEdgeCollectorEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/v5/enterprise-identity/health,EnterpriseIdentity/V5EnterpriseIdentityEndpoints.cs,CRITICAL,"Identity, sessions, role mappings or the access model itself",Deny by default; declare required permission,
/api/v5/enterprise-identity/policy,EnterpriseIdentity/V5EnterpriseIdentityEndpoints.cs,CRITICAL,"Identity, sessions, role mappings or the access model itself",Deny by default; declare required permission,
/api/v5/enterprise-identity/sessions,EnterpriseIdentity/V5EnterpriseIdentityEndpoints.cs,CRITICAL,"Identity, sessions, role mappings or the access model itself",Deny by default; declare required permission,
/api/v5/historian-connector/health,PlantConnectors/V5GaHistorianConnectorEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/v5/historian-connector/provider,PlantConnectors/V5GaHistorianConnectorEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/v5/identity-runtime/health,EnterpriseSsoScim/V5IdentityRuntimeCertificationEndpoints.cs,CRITICAL,"Identity, sessions, role mappings or the access model itself",Deny by default; declare required permission,
/api/v5/identity-runtime/scim/schema-proof,EnterpriseSsoScim/V5IdentityRuntimeCertificationEndpoints.cs,CRITICAL,"Identity, sessions, role mappings or the access model itself",Deny by default; declare required permission,
/api/v5/outbound/health,OutboundLeadSystem/V5OutboundLeadSystemEndpoints.cs,HIGH,Commercial lead data,Deny by default; declare required permission,
/api/v5/outbound/leads,OutboundLeadSystem/V5OutboundLeadSystemEndpoints.cs,HIGH,Commercial lead data,Deny by default; declare required permission,
/api/v5/outbound/suggestions/outcomes/kpi,OutboundLeadSystem/V5OutboundLeadSystemEndpoints.cs,HIGH,Commercial lead data,Deny by default; declare required permission,
/api/v5/plant-connectors/health,PlantConnectors/V5PlantConnectorEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/v5/plant-connectors/truth,PlantConnectors/V5PlantConnectorEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/v5/sso/ServiceProviderConfig,EnterpriseSsoScim/V5EnterpriseSsoScimEndpoints.cs,CRITICAL,"Identity, sessions, role mappings or the access model itself",Deny by default; declare required permission,
/api/v5/sso/Users,EnterpriseSsoScim/V5EnterpriseSsoScimEndpoints.cs,CRITICAL,"Identity, sessions, role mappings or the access model itself",Deny by default; declare required permission,
/api/v5/sso/health,EnterpriseSsoScim/V5EnterpriseSsoScimEndpoints.cs,CRITICAL,"Identity, sessions, role mappings or the access model itself",Deny by default; declare required permission,
/api/v5/sso/role-mappings,EnterpriseSsoScim/V5EnterpriseSsoScimEndpoints.cs,CRITICAL,"Identity, sessions, role mappings or the access model itself",Deny by default; declare required permission,
/api/v5/visual-mapper/health,VisualMapper/V5VisualMapperEndpoints.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/api/v5/visual-mapper/templates,VisualMapper/V5VisualMapperEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/api/value/realization/contract,Endpoints/Analytics/ValueRealizationEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/api/value/realization/ledger,Endpoints/Analytics/ValueRealizationEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/api/version,Program.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
/auth/session,Security/AuthEndpoints.cs,CRITICAL,"Identity, sessions, role mappings or the access model itself",Deny by default; declare required permission,
/configuration/industry-templates,Endpoints/Configuration/ConfigurationEndpoints.cs,HIGH,Plant configuration,Deny by default; declare required permission,
/configuration/material-unit-types,Endpoints/Configuration/ConfigurationEndpoints.cs,HIGH,Plant configuration,Deny by default; declare required permission,
/configuration/operation-definitions,Endpoints/Configuration/ConfigurationEndpoints.cs,HIGH,Plant configuration,Deny by default; declare required permission,
/configuration/route-steps,Endpoints/Configuration/ConfigurationEndpoints.cs,HIGH,Plant configuration,Deny by default; declare required permission,
/configuration/routes,Endpoints/Configuration/ConfigurationEndpoints.cs,HIGH,Plant configuration,Deny by default; declare required permission,
/configuration/status,Endpoints/Configuration/ConfigurationEndpoints.cs,HIGH,Plant configuration,Deny by default; declare required permission,
/configuration/summary,Endpoints/Configuration/ConfigurationEndpoints.cs,HIGH,Plant configuration,Deny by default; declare required permission,
/demo/lifecycle,Endpoints/Demo/DemoLifecycleEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/demo/reset/{jobId:guid},Endpoints/Demo/DemoLifecycleEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/demo/reset/{jobId:guid}/progress,Endpoints/Demo/DemoLifecycleEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/dev/database-summary,Endpoints/Development/DevSeedEndpoints.cs,CRITICAL,Development seed surface,Deny by default; declare required permission,
/dev/material-sample,Endpoints/Development/DevSeedEndpoints.cs,CRITICAL,Development seed surface,Deny by default; declare required permission,
/mapping-health/status,Endpoints/MappingHealth/Phase34MappingHealthEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/mapping-health/summary,Endpoints/MappingHealth/Phase34MappingHealthEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/phase2/acceptance-summary,Endpoints/Phase2/Phase2LifecycleProofEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/phase2/genealogy/{materialCode},Endpoints/Phase2/Phase2LifecycleProofEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/phase2/import-lifecycle/acceptance,Endpoints/Phase2/Phase2LifecycleProofEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/phase2/source-lifecycle/acceptance,Endpoints/Phase2/Phase2LifecycleProofEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/phase4/acceptance-summary,Endpoints/Phase45/Phase45ClosureEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/phase4/cascade/acceptance,Endpoints/Phase45/Phase45ClosureEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/phase4/compute/acceptance,Endpoints/Phase45/Phase45ClosureEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/phase4/features/acceptance,Endpoints/Phase45/Phase45ClosureEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/phase4/golden-dataset/acceptance,Endpoints/Phase45/Phase45ClosureEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/phase4/outcomes/acceptance,Endpoints/Phase45/Phase45ClosureEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/phase4/scheduled-learning/acceptance,Endpoints/Phase45/Phase45ClosureEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/phase4/scheduled-learning/jobs,Endpoints/Phase45/Phase45ClosureEndpoints.cs,MEDIUM,Operational or derived state,Deny by default; declare required permission,
/plant-layout/areas,Endpoints/PlantLayout/PlantLayoutEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/plant-layout/areas/{id:guid}/children,Endpoints/PlantLayout/PlantLayoutEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/plant-layout/equipment,Endpoints/PlantLayout/PlantLayoutEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/plant-layout/equipment/{id:guid}/children,Endpoints/PlantLayout/PlantLayoutEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/plant-layout/equipment/{id:guid}/materials,Endpoints/PlantLayout/PlantLayoutEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/plant-layout/sites,Endpoints/PlantLayout/PlantLayoutEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/plant-layout/sites/{id:guid},Endpoints/PlantLayout/PlantLayoutEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/reports/,Endpoints/Reporting/ReportingEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/reports/customer-demo/phase1-summary,Endpoints/Reporting/CustomerDemoReportEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/reports/customer-demo/phase1.pdf,Endpoints/Reporting/CustomerDemoReportEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/reports/materials/{materialUnitId:guid}/investigation,Endpoints/Reporting/ReportingEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/reports/materials/{materialUnitId:guid}/investigation/pdf,Endpoints/Reporting/ReportingEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/reports/readiness-assessment,Endpoints/Reporting/ReportingEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/reports/readiness-assessment/pdf,Endpoints/Reporting/ReportingEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/reports/report,Endpoints/Reporting/ReportingEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/reports/report/pdf,Endpoints/Reporting/ReportingEndpoints.cs,HIGH,"Customer plant data or derived analytical output, served with no tenant context",Deny by default; declare required permission,
/validation/sync-report,Endpoints/Validation/ValidationEndpoints.cs,MEDIUM,Unclassified - requires an owner decision,Deny by default; declare required permission,
/version,Program.cs,LOW,"Health, version or static contract - likely intentionally anonymous, must be declared explicitly",Explicitly declare as anonymous,
