"ApplyOrder","OrderGroup","Track","ApplyMode","ExecutionOwner","Scope","RiskLevel","DbCategory","RelativePath","LineCount","SizeKB","Decision"
"400","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","MEDIUM","Script","Backend\database\scripts\400_phase4_demo_costs_DEMO_ONLY.sql","20","0.96","Keep outside generic app schema flow"
"9999","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","MEDIUM","SourceSystemSeed","Backend\database\seed\source-systems\synthetic_hsm_source_insert.sql","2821","943.78","Keep outside generic app schema flow"
"9999","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","MEDIUM","SourceSystemSeed","Backend\database\seed\source-systems\synthetic_inspection_source_insert.sql","6601","2186.86","Keep outside generic app schema flow"
"9999","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","MEDIUM","SourceSystemSeed","Backend\database\seed\source-systems\synthetic_qms_source_insert.sql","419","117.71","Keep outside generic app schema flow"
"20260511","70_demo_source_systems","DEMO_SOURCE_SYSTEM","OPTIONAL_DEMO_ONLY","DemoDeploy","DemoOrSourceSystemShape","MEDIUM","Seed","Backend\database\seed\20260511_phase_c_staging_records.sql","51","1.88","Keep outside generic app schema flow"
"71","80_validation","VALIDATION_OR_AUDIT","VALIDATION_ONLY","CIOrDeveloper","Validation","MEDIUM","Script","Backend\database\scripts\071_validate_dashboard_performance.sql","145","4.37","Keep as validation script, not schema migration"
"91","80_validation","VALIDATION_OR_AUDIT","VALIDATION_ONLY","CIOrDeveloper","Validation","MEDIUM","Seed","Backend\database\seed\091_phase1_dashboard_builder_explain_validate.sql","54","1.57","Keep as validation script, not schema migration"
"96","80_validation","VALIDATION_OR_AUDIT","VALIDATION_ONLY","CIOrDeveloper","Validation","HIGH","Script","Backend\database\scripts\096_harden_audit_log_immutability.sql","126","4.02","Keep as validation script, not schema migration"
"115","80_validation","VALIDATION_OR_AUDIT","VALIDATION_ONLY","CIOrDeveloper","Validation","MEDIUM","Script","Backend\database\scripts\115_phase2_integrity_audit.sql","236","6.96","Keep as validation script, not schema migration"
"50","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\050_dashboard_phase8_9_10_indexes.sql","127","4.41","Review before restructuring"
"60","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\060_phase_8_9_dashboard_materialized_views.sql","117","4.21","Review before restructuring"
"70","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\070_fix_system_template_widget_codes.sql","94","3.63","Review before restructuring"
"80","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\080_phase_3_4_connector_schema_foundation.sql","16","0.64","Review before restructuring"
"113","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\113_phase1_widget_script_layer.sql","78","3.1","Review before restructuring"
"116","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\116_phase2_operation_analytics_pilot_foundation.sql","272","9.63","Review before restructuring"
"120","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\120_phase02_canonical_schema_mapping_engine.sql","332","10.74","Review before restructuring"
"121","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\121_phase01_bootstrap_token_sweep.sql","23","0.94","Review before restructuring"
"141","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\141_phase03_page_builder_foundation.sql","70","3.41","Review before restructuring"
"202","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\202_phase02_ml_compute_basic_correlations_hotfix.sql","96","3.29","Review before restructuring"
"203","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\203_phase02_ml_compute_v6_wrapper_hotfix.sql","39","1.26","Review before restructuring"
"206","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\206_fix_dashboard_widget_definition_schema_drift.sql","199","6.21","Review before restructuring"
"207","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\207_fix_dashboard_widget_expression_smallint_schema_drift.sql","173","6.51","Review before restructuring"
"251","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\251_p1_correlation_method_honesty.sql","30","1.5","Review before restructuring"
"310","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\310_p03_p04_mapping_genealogy_foundation.sql","903","29.71","Review before restructuring"
"311","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\311_p03_p04_fix_genealogy_walk_and_safe_sql.sql","246","7.3","Review before restructuring"
"312","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\312_p03_p04_completion_pack_a.sql","720","23.92","Review before restructuring"
"313","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\313_p03_p04_completion_pack_a_hotfix.sql","404","13.48","Review before restructuring"
"320","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\320_phase2_canonical_completion.sql","123","6.33","Review before restructuring"
"400","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\400_phase4_value_engine.sql","60","2.82","Review before restructuring"
"410","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\410_phase5_suggestions.sql","40","1.79","Review before restructuring"
"420","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\420_phase6_assistant.sql","32","1.46","Review before restructuring"
"430","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\430_p4_production_assistant.sql","116","4.56","Review before restructuring"
"500","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\500_v5_p01_auth_argon2id_and_secret_hygiene.sql","41","1.46","Review before restructuring"
"520","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\520_v5_p03_timeseries_foundation.sql","427","15.8","Review before restructuring"
"530","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\530_v5_p04_assistant_model_gateway_boundary.sql","301","9.91","Review before restructuring"
"540","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\540_v5_p05_visual_mapper_foundation.sql","331","12.7","Review before restructuring"
"580","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\580_v5_p09_enterprise_identity_sso_scim.sql","329","9.98","Review before restructuring"
"590","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\590_v5_p10_signed_license_anti_tamper.sql","183","6.11","Review before restructuring"
"630","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\630_v5_p14_compliance_refactor_controls.sql","214","8.03","Review before restructuring"
"640","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\640_remaining_sensitive_data_catalog.sql","86","4.19","Review before restructuring"
"650","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\650_remaining_p10_ed25519_verified_license.sql","165","5.44","Review before restructuring"
"660","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\660_remaining_p09_sso_scim_runtime_certification.sql","259","7.56","Review before restructuring"
"665","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\665_pack_b35_mostly_green_task_closure.sql","171","10.52","Review before restructuring"
"680","90_review","REVIEW_MANUAL","DO_NOT_AUTO_APPLY","Developer","Unknown","MEDIUM","Script","Backend\database\scripts\680_pack_b5_private_model_gateway_ciso_controls.sql","327","10.98","Review before restructuring"
"117","91_high_risk_review","HIGH_RISK_REVIEW","DO_NOT_AUTO_APPLY","SeniorReview","HighRiskUnclassified","HIGH","Script","Backend\database\scripts\117_phase8_widget_script_layer_entity_mapping.sql","65","2.55","Needs manual senior review"
"200","91_high_risk_review","HIGH_RISK_REVIEW","DO_NOT_AUTO_APPLY","SeniorReview","HighRiskUnclassified","HIGH","Script","Backend\database\scripts\200_phase02_ml_foundation_feature_store_pgvector.sql","709","26.52","Needs manual senior review"
"201","91_high_risk_review","HIGH_RISK_REVIEW","DO_NOT_AUTO_APPLY","SeniorReview","HighRiskUnclassified","HIGH","Script","Backend\database\scripts\201_phase02_ml_feature_store_v6_completion.sql","186","11.52","Needs manual senior review"
"204","91_high_risk_review","HIGH_RISK_REVIEW","DO_NOT_AUTO_APPLY","SeniorReview","HighRiskUnclassified","HIGH","Script","Backend\database\scripts\204_phase04_phase05_ml_learning_core.sql","816","29.93","Needs manual senior review"
"205","91_high_risk_review","HIGH_RISK_REVIEW","DO_NOT_AUTO_APPLY","SeniorReview","HighRiskUnclassified","HIGH","Script","Backend\database\scripts\205_phase04_phase05_completion_governance_jobs_tests.sql","1239","41.33","Needs manual senior review"
"780","30_schema","APP_SCHEMA_CANDIDATE","AUTO_APPLY_CANDIDATE","ApplicationDbDeploy","GenericProductSchema","LOW","Script","Backend\database\scripts\780_t073_widget_result_evidence.sql","0","0","T-073 widget result evidence snapshot; idempotent, tenant scoped"
